	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
SRR28210342	0	0.110088609681678	0.155981229607023	0.1427249415363	0.191048904954261	0.157250340537486	0.233968886445567	0.261896435037452	0.20529535175669	0.180174927925335	0.168689266944517	0.137821899897021	0.364147195029743	0.279490645947633	0.226143475435303	0.26563874219546	0.16746683063743	0.175401635972679	0.17164718646691	0.160865608415145	0.333432773664035	0.339817856086003	0.229023639748902	0.143382162780526	0.212811997672345	0.182646423580838	0.182824549232051	0.179709422753989	0.226223844307712	0.197151430209239	0.146281523197527	0.123024684504783	0.162510118631288	0.199982951674985	0.237044844233734	0.159128325816687	0.235526890271953	0.209388040362025	0.150964441696579	0.213056023455713
SRR28210343	0.110088609681678	0	0.142182712942499	0.128121997922574	0.179557088497597	0.142940189498405	0.221314193737613	0.24846514364851	0.187158065918269	0.172979028221894	0.14489972500557	0.142677577047448	0.351280375650937	0.26744656429637	0.212048900075713	0.252406000640421	0.151187740730794	0.154283401527979	0.152839522713333	0.141507378340051	0.322238905869832	0.331227173210771	0.213461813494794	0.125595658052399	0.202483540676193	0.155466809043351	0.167297806274144	0.164624793143373	0.220371130303578	0.190248216582492	0.13656805071437	0.113986349671531	0.144241577806814	0.185085703783178	0.223677168018613	0.13953152242583	0.227045126900278	0.191473083720778	0.128624676704488	0.201070506977665
SRR28210344	0.155981229607023	0.142182712942499	0	0.137910161378058	0.153470123966693	0.13964408413618	0.202214661501597	0.19574877276004	0.176809536122073	0.15424679487526	0.146126383693726	0.165682518091984	0.304975302126353	0.214007458349343	0.186541840448083	0.202707601696328	0.143683607679321	0.149167414464285	0.15210024265018	0.138124496929028	0.275800114406066	0.28298266509024	0.203973610596898	0.147382978324455	0.175323091654205	0.155783553701374	0.151221380822329	0.128071669582621	0.208352651733675	0.170903740021792	0.146287183715322	0.140754994380144	0.15528247943132	0.151720128297494	0.201601381155666	0.130443846586314	0.192669258289071	0.17201310031536	0.159820319621016	0.188507407465088
SRR28210345	0.1427249415363	0.128121997922574	0.137910161378058	0	0.155504896065444	0.133711337439551	0.200730138327362	0.222009414106969	0.185217970228659	0.161772732217503	0.142912454025009	0.161449372459753	0.313124194549195	0.240161858302081	0.183703524983869	0.219164511101142	0.143432545701835	0.145881670499047	0.138279817052182	0.149125822987465	0.293688570213818	0.29573343207807	0.205642433494149	0.127216785721971	0.182857645511906	0.163459228044474	0.155053101646701	0.144920448121787	0.199957387187924	0.17731763905547	0.136800005272538	0.13015985060092	0.135666877657205	0.160050868402972	0.197602765475092	0.131620615012123	0.19845826996781	0.164225044054394	0.137155554862745	0.175113097606313
SRR28210346	0.191048904954261	0.179557088497597	0.153470123966693	0.155504896065444	0	0.154066178124987	0.204086798281166	0.190202011222358	0.170288598240703	0.172730729618605	0.157271789842235	0.184237450850057	0.269863296654153	0.211768844999406	0.182643658391047	0.204068153384585	0.150025097776675	0.158738705379405	0.171758308120083	0.160922268429571	0.25638586239611	0.256206436614208	0.194102270795076	0.164769920365291	0.170481682285875	0.166998214668349	0.15429562259151	0.149614315050757	0.195583652438609	0.187392419088267	0.176459708647532	0.176422757022625	0.171993169294949	0.162399596869421	0.190256505724097	0.148822952363561	0.19787882633289	0.154854431281905	0.180603924298635	0.193797377479496
SRR28210347	0.157250340537486	0.142940189498405	0.13964408413618	0.133711337439551	0.154066178124987	0	0.21148912060545	0.221663614039626	0.186769708464285	0.17141442955237	0.144108789822825	0.176450034768015	0.306985271406552	0.242615584797216	0.196835234592613	0.22072918451495	0.147523013855812	0.152637064194616	0.163217042388038	0.153121301145725	0.2963988727099	0.291854971072114	0.205507137538473	0.141951140851392	0.189738489442343	0.160328259750407	0.15229829048177	0.149251006175462	0.207505014782666	0.179216228451994	0.154588819115406	0.139949634075361	0.15550956577116	0.170335933667188	0.206805493398063	0.151923881673113	0.20250576734833	0.163197379739175	0.150574525515677	0.194091585114197
SRR28210348	0.233968886445567	0.221314193737613	0.202214661501597	0.200730138327362	0.204086798281166	0.21148912060545	0	0.216921981058533	0.210146535851101	0.18158986565828	0.206768305961823	0.234515806921372	0.304058097398628	0.214794484849944	0.191566331132788	0.202407769888413	0.188412230135439	0.191417052273	0.189440449920825	0.214051676881281	0.256006600973906	0.263455939557595	0.20169194595912	0.205468062914143	0.213167959977654	0.202348043407569	0.185556162433029	0.196383295202488	0.214893966586015	0.19562252780551	0.200093287541846	0.206702973079329	0.202137878461518	0.190439274011094	0.197382237419296	0.198684810281031	0.210649102008419	0.191616397801087	0.209223556036592	0.185473117357837
SRR28210349	0.261896435037452	0.24846514364851	0.19574877276004	0.222009414106969	0.190202011222358	0.221663614039626	0.216921981058533	0	0.204661464296986	0.20791844201928	0.214303426449118	0.241378184798636	0.271372413030012	0.178104087914527	0.193221617239349	0.188109877825568	0.20506786329651	0.198176801804387	0.209401092816043	0.206746147416092	0.240990830642728	0.24164356965661	0.228271601821618	0.232679407611098	0.195215560980507	0.21291412052487	0.197293298653358	0.177178072543676	0.232158442804727	0.216565764578138	0.223174137318119	0.246440851597513	0.225002362949658	0.176493386672183	0.212241581147232	0.203365461428289	0.198562032463254	0.20095077838134	0.240778696582233	0.220621767285848
SRR28210350	0.20529535175669	0.187158065918269	0.176809536122073	0.185217970228659	0.170288598240703	0.186769708464285	0.210146535851101	0.204661464296986	0	0.182470240724465	0.170372369813639	0.199062075431102	0.28695994056244	0.214817466967579	0.197125461541015	0.220957963648882	0.161780328387183	0.172786730181476	0.179976137070387	0.177656043016934	0.256258809393942	0.265602303740075	0.182140894859629	0.17976842292122	0.184549195681347	0.168895819061601	0.169912906628033	0.175820584484144	0.210735256457169	0.193915630880257	0.190893715051886	0.19288433749708	0.181841425320762	0.182311389857888	0.19610830358596	0.16974037701522	0.214153821892285	0.181416449107544	0.189554577386176	0.204182388032313
SRR28210351	0.180174927925335	0.172979028221894	0.15424679487526	0.161772732217503	0.172730729618605	0.17141442955237	0.18158986565828	0.20791844201928	0.182470240724465	0	0.172009457935303	0.188395996189976	0.306130342278442	0.213357564339355	0.179340503573483	0.203140289784957	0.152413203678767	0.169052544483713	0.172157938360844	0.176211555467339	0.252236398714218	0.264096942980896	0.202850651581457	0.169847278957821	0.178527777142181	0.174593357803597	0.159967889166846	0.162442396274332	0.180556029402914	0.169350920616179	0.159999174971112	0.156847641446503	0.170719779976899	0.173125898192739	0.190367138872699	0.161915096940875	0.19070761566603	0.18009874099332	0.175903482075172	0.163868995545128
