PathwayL2	KO	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
Excretory system	K01425K00261K01596	37.7981422764	32.5161701036	14.221754486	33.11192298340001	67.7443675733	72.9100677386	39.0561131795	50.6663372729	64.6433533857	21.4481605802	68.3792534329	55.4784911526	187.4101106592	15.218252613099999	25.377027630500002	10.483119505500001	56.7974843887	14.443475954	19.2514676908	80.26284450259999	6.4322951557	36.9739278163	74.8035385956	38.6836737118	45.356142729	69.0908802409	63.0283296405	70.4723151547	42.4807655747	45.0611261205	5.4037292108	19.3060493664	67.2579662828	48.2647055393	11.3737648457	26.8328147546	35.997521547	71.3275420476	63.9377989413	18.532467114600003
Folding	K03076K03073K03075K03072K03074K12257K03210K03217K03070K03071K13301K03106K03110K07342K03105K03116K03117K03118K03425K03100K03101K13280K07342K07151K13525K04079K13993K03237K02927K10580K04487K01011K14171K04085K07237K07236K07235K11179K00566K03635K03639K03636K21028K21029K21147K03637K03831K03638K03151K03154K03148K21140K13527K03420K03432K03433K03679K08311K08300K03732K01689K00962K11927K12573K05592K03654K03628K18682K12574K00850K04043K04077K03666K00937K22468K00970	993.6005103915	1162.1899582444	1185.4963641444	1561.216341222	2174.3939303114	1817.9394922868	1144.9203555373	2374.0225468752	1811.6346735033999	1259.915634431	1771.0625011082	1538.6752183969	5677.2729214231995	2473.8816962473	1553.2439223614	1417.9254856493	1387.2584981305	1212.9984459183	1491.4435644872	1272.6117444221	2331.3467439605	2158.5719810327	1279.3194341821	1232.4362924925	1928.7709552106	1433.9819218947	1651.3136207565	2095.5460685212	1466.327788075	1316.7753771432	1358.5998194217	846.7041977586	1420.003052599	1589.8721010534	1427.6945755006	1246.2099650638	2018.9687587264	1774.3018562585	1377.678750301	1900.2658450292
Glycan biosynthesis and metabolism	K00721K07151K00737K07151K12373K00728K19872K00728K13500K01197K01195K01207K01565K01205K12373K00709K07406K07407K12373K12373K00677K02535K16363K02536K03269K09949K00748K00912K06041K01627K03270K00979K02527K02517K02560K12979K19803K03760K12975K12973K07264K12976K11211K12974K03271K03272K03273K03274K07031K15669K02841K02843K02848K19353K02849K02850K12981K12986K02844K02840K03275K03276K03277K03280K02847K00963K01784K17716K01854K00012K08679K00973K01710K01790K00067K19180K20679K02805K16704K20429K21379K00978K01709K12452K00523K12454K01809K16011K01840K00971K01711K15856K02377K13010K04042K01791K02472K01654K00983K19068K15898K15899K02474K13016K13018K13019K22925K02473K00790K00075K01924K01925K01928K01921K01929K00887K00806K06153K19302K01000K02563K03814K05366K05365K05367K12555K18770K05515K03587K08724K08384K21466K05364K07258K07259K21469K07260K18866K05362K07009K05363K12554K03693K00687K12556K01186K01190K12111K12112K12373K01191K01192K01227K01206K15923K01201K17108K08256K13668K22311K11387K16647K02851K16870K16650K16647K22902	1488.9551880021	1775.8049927739	1425.2139705702	2180.1017978628	3262.2953784539	2463.1212663298	1601.8963997032001	2935.3380436351	2272.2546907294	1659.9553886713	2584.9037400871002	2787.3843023255	8841.4051213459	2415.0045473525	2252.3852193776	2122.2759949921	2276.9138606454	1607.4916173295	1905.2128514093	2340.6901598803	2666.325891423	2331.0025078162	2203.6495103307	1633.7986157637	2928.0425487576	2138.9458920982	2622.7538680893	3054.5756910131	1958.6992313742999	1914.7409033764	2144.1140347364003	1243.9427323331	2276.4663427696	2328.5493977061	2024.9128891582	1964.3145749936	3023.7343443697	2499.0731663905	2263.1693265491	2853.8384651181
Immune disease	K11253K11089K01488K03648	39.7602152041	58.2853018945	43.2580204676	84.9036889825	73.7017694608	84.0637927805	75.4711418809	113.6059294649	44.739850519300006	68.2813682396	122.234140337	73.5645992185	255.7542324913	61.3353748988	104.8245394428	78.25291702589999	59.1961381259	84.6902133048	86.8370594553	38.8113101545	110.6921882725	159.15955650889998	58.2443615447	40.8919982623	94.2647565785	66.25870088970001	81.9651552257	94.8819139392	75.8775585588	65.3791121574	97.7045378715	48.8601644441	72.6933104597	74.63352887399999	60.9532680464	68.2296865136	113.3116554907	101.85809236520001	47.8058081474	100.3968659303
Immune system	K10580K03462K03671K04079K02406K09578K00863K04079K04079K04079	70.2936766627	100.27376412390001	214.24038859380002	110.78238421820001	200.4851020025	175.3623357818	57.7795344919	176.6818605199	153.1150630395	122.5373567805	156.3539477361	105.211434932	303.18586841859997	28.8258312352	76.4983590729	74.4309315234	150.8608302161	78.67203560360001	149.0744211431	112.5504210051	54.2044804815	61.9986248728	62.2360859945	121.3507066823	123.51403909940001	104.5619169039	232.5575648007	194.2588451853	91.399552997	105.179323365	130.6562533002	96.8531705584	215.48349442710003	124.46572790829998	138.9910061597	153.257645561	146.8715320876	154.8638009982	132.1081130748	46.649381031
Infectious disease: bacterial	K07342K21712K03196K03191K14048K01428K08303K11006K00134K08738K03221K02406K04079K18015K00134K08738K03671K03221K07345K00844K08738K02406K10580K11253K02927K11006K03221K13735K07345K07347K07326K15125K12340K07389K12973K07679K07690K03197K04077K13525K08738K00239K03231K03596K02406K03367K03739K14188K03740K14205K11041K08738K14953K02040K04043K04077K14949K13732K13735	363.5583353427	541.381143822	410.07105612830003	554.2841337791	825.631429726	751.5189640918	461.86074001649996	717.4028229898	577.2457316008	406.5755745074	807.4419640218	632.4573151539	2104.6224345805	824.7826308745	550.7922854712	383.8239015537	558.1978807035	459.37513127340003	540.0001037469001	584.8673280669	815.2624100794	767.2292040831	476.6141258699	477.6062967286	856.8231734399	752.1151140703	661.7970656322	780.2188307365	570.3364619065	446.1595870071	466.902290226	360.1867703688	655.8556193603999	565.1895890421999	547.4339464293	429.0463893074	682.1545218502	844.3666660406	692.0611473106	646.9013800016
Infectious disease: parasitic	K01476K04072K13963K08738K03231K01354K01354K14475	5.0055743296	25.5115083208	3.9377326291	29.156326821100002	39.7484019261	22.3095877158	1.0157282485999999	9.7444583498	2.1144227153	2.7105342016	12.024657081900001	39.8269331531	209.8714393514	6.008072489800001	36.5934235659	24.5002095846	20.7049526119	28.9188214592	1.9034352553	20.7413163097	9.0503884741	41.154505838	34.2689402142	13.885893854599999	19.5524917454	18.4586879073	6.146880922799999	16.9219735362	24.2275756521	1.6595159166	27.9739071177	8.3767901362	12.002988334	16.1944372235	49.1586498975	18.6033956573	46.534583703799996	15.4523275295	17.4885606671	13.1107770952
Infectious disease: viral	K05770K03120K08738K08738K04802K03237K08738K02984K02987K02991K02995K02962K02974K02978K02979K02930K02936K02875K02889K02896K02908K02915K02922K02921K02924K02927K02929K03237K08738K03237K08738K03237K08738K08738K08738K02927K08738K03120K00873	31.201409191	347.279689887	26.7178225074	72.5884965572	83.81314068830001	87.7764008866	23.5546339761	140.0064236286	68.25460930279999	24.4255800369	94.9567211762	91.6751581987	270.1626863872	77.18445557739999	80.8140591212	44.5750677184	80.7727776915	33.810720740600004	73.0242483635	53.5250855446	68.4121385634	51.2134525729	28.0971228592	39.5310771226	61.158102281599994	61.1132272912	74.5024635724	110.4155349974	94.9918888829	60.8642340026	70.5853791721	29.4020147106	74.2783744819	76.6623548658	57.8047754829	42.569155344799995	102.18340762359999	92.6482905149	63.283860501999996	86.56277517150001
Lipid metabolism	K01962K02160K01961K01963K11263K02078K03955K00645K11533K00648K00647K09458K00059K01716K02372K16363K00208K02371K00209K18474K01071K01897K00626K00632K01825K01782K01692K07516K13767K00232K00248K00249K06445K00252K01897K05939K00529K00121K04072K13953K13954K00001K00128K01641K01640K01028K01029K00626K00019K01574K01442K01442K00076K22604K22605K22606K22607K15868K15871K15870K15872K15873K07007K12343K00865K11529K00128K00002K13979K00863K05878K05879K05881K00005K22251K00864K06117K00631K03621K08591K00655K00901K07029K01046K19002K03429K13677K19005K07406K07407K06120K06121K06122K00086K00057K00105K00111K00112K00113K00631K08591K00655K00980K00901K07029K01114K16619K01058K01048K01126K00968K05939K04019K03735K03736K01521K00981K01004K00998K17103K01613K00995K01095K01096K18697K06131K06132K08744K00096K17104K17105K17830K00803K01058K01114K16619K12349K00720K01201K17108K01190K01202K01130K01186K07406K07407K01058K00432K01058K00508K01058K00232K00632K00232K10804K10805K10806	1085.3196721655	1322.1536063552	1057.7467691056	1799.4506749993	2931.4533366551	2038.7931696781	1295.3269264213	1938.1953794209	1902.5379513869	1575.9334248611	1994.1405084949001	1848.3023584988	8552.580848323	1810.6948989206	1939.5586987576	1803.0645541684	1627.772080624	1459.6414974399	1624.5093401762	1595.0905505055	2101.556973626	3089.813722056	1337.750284153	1368.9094828912	2350.8477377065	1915.4208143447	2032.3575600785	2417.114973308	1845.2417298028001	1634.7870615621	1542.0902223315	1019.5746265609	1863.5947601662	1735.3242231687	1772.7910756368	1569.8857278773	2544.8809094748	2176.4988739603	1682.2020523694	1781.7504625761999
Membrane transport	K02048K23163K02046K02047K02045K05772K05773K06857K15495K15576K15577K15578K15551K15552K10831K15553K15554K15555K15598K15599K15600K02020K02018K02017K05776K02012K02011K02010K02064K02063K02062K11069K11070K11071K11072K11073K11074K11075K11076K11081K11082K11083K11084K02002K02001K02000K05845K05846K05847K10108K10109K10110K10111K10112K15770K15771K15772K10117K10118K10119K10188K10189K10190K10228K10229K10232K10192K10193K10194K17318K17319K17320K10200K10201K10202K10240K10241K10242K17234K17236K10546K10547K10548K07323K02067K02066K07122K02065K07335K17315K17316K10439K10440K10441K06726K10537K10538K10539K10540K10541K10542K10543K10544K10545K10549K10550K10551K10553K10559K10560K10561K10562K17202K17203K17204K17206K17213K17214K17215K17323K05813K05814K05815K05816K02040K02037K02038K02036K02044K02042K02041K10013K10015K10016K10017K10014K10036K10037K10038K10039K10040K10041K09996K09997K09998K09999K10000K10001K10002K10003K10004K10018K10020K10021K09969K09970K09971K09972K10005K10006K10007K10008K02424K10009K10010K16957K16958K16959K16960K16961K16962K16963K10022K10025K23059K17077K23060K17073K17074K17076K23057K23061K01999K01997K01998K01995K01996K02073K02072K02071K11959K11960K11961K11962K11963K15580K15581K15582K15583K10823K12368K12369K12370K12371K12372K16202K19226K19227K19228K19229K19230K15584K15585K15586K15587K10824K13889K13890K13891K13892K13893K13894K13895K13896K23181K23182K23183K23184K23185K23186K23187K23188K23227K23228K10829K06858K06073K06074K11601K11602K19975K19976K19973K09815K09816K09817K11704K11705K11604K11605K11606K11607K19971K19972K10830K11707K11708K11709K11710K02009K02007K02008K02006K03523K16783K16784K16785K16786K16787K10555K10556K10557K10558K11051K11050K10107K09688K09689K22921K09690K09691K09692K09693K09694K09696K09697K19310K19309K11631K20460K20461K20459K20491K20492K20490K09808K09810K02196K02195K02194K02193K07091K11720K06861K16905K16906K16907K09811K09812K14698K14699K11085K18889K18890K13409K18104K18891K18892K18217K18893K18887K18888K12541K16299K12292K20344K16012K16013K05685K18230K19350K06159K02471K08483K02784K20118K02777K02779K02804K02791K20108K02810K02757K02753K02750K02819K11192K02798K02800K11200K02786K02788K02759K02760K02761K02793K02794K02795K02796K19506K19507K19508K19509K02812K02813K02744K02745K02746K02747K10984K10985K10986K17465K17466K02781K02782K02783K02773K02774K02775K20112K20114K02821K02822K03475K11183K02770K02769K02768K00882K08484K02806K12340K03221K03224K02453K02465K02452K02455K02456K02457K02458K02459K02460K02461K02462K02454K02464K03072K12257K03074K03073K03075K03076K03210K03217K03070K13301K03110K03071K03106K03116K03117K03118K03425K03194K03197K03200K03204K03201K03203K03195K03199K03196K03205K11904K11903K11906K11891K11892K11907	2604.1949101213	1927.9532280397	3316.5476340574	4283.1467865123	6367.0098180355	4085.8289947715	2612.6452086524	7011.0064830862	4062.4992015733	3350.784748149	3163.4711894956	3920.0724120197	23164.8533183831	7098.1686350677	3991.5894867293	3553.8026183854	2452.9969732213	2631.2862319733	3887.1514098715998	2204.9509273382	6285.4874572106	6351.9683345282	2687.1325978836	2812.0207751046	4469.5392357384	2618.3151621515	2854.4905914269	5169.4884577836	5246.8150739684	2751.3323509347	4139.1382206119	2178.8257260015	2938.0125805032	3227.1665128273	4190.639012705	2747.9526473153	6556.3244171885	3748.1286620338	2440.7068625863	5370.3726320428
Metabolism of cofactors and vitamins	K03147K00941K14153K03148K04487K03151K03150K03153K01662K03149K22699K00878K00788K00946K06949K01077K14394K07251K00949K00939K03707K01497K14652K08096K14653K11752K14654K20861K20862K21063K21064K02858K00794K00793K00861K11753K07732K01093K03788K14394K14656K00484K22393K22394K05368K00299K19285K19286K00275K00868K05275K03472K03473K00831K00097K03474K01733K06215K08681K00278K06989K03517K00767K00763K03783K03784K06211K01081K11751K03787K08723K20881K13522K00969K04765K03426K01916K01950K03742K03743K01239K08281K03462K12410K00858K00322K00324K00325K20446K20447K20448K15358K19647K20450K20451K20452K20454K00135K08324K01652K01653K11258K00053K01687K00606K00077K01918K00867K09680K03525K21977K01598K13038K04765K00954K00859K09735K00997K06133K08682K00826K17722K17723K01464K01579K18933K00128K02169K00647K09458K00059K02372K00208K02170K09789K01906K00652K00833K01935K01012K03524K08351K03801K03644K03800K01495K09007K01077K01113K08310K19965K13940K01633K00950K00796K18824K18825K00287K18589K18590K11754K01497K14652K01664K01665K13950K03342K02619K07589K13938K01737K01724K00500K10026K06920K06879K09457K17488K06897K17364K03639K03637K03635K03831K03638K03750K07141K03752K13818K00287K18589K18590K13938K01938K01491K00600K11175K08289K00602K00603K13990K00604K00605K00548K00560K03465K01433K00297K01934K00121K13953K00001K09516K01885K02492K01845K01698K01749K01719K01599K00228K02495K00230K00231K08973K01772K13542K02496K02302K02303K02304K22226K22227K02257K02259K02190K03795K03394K05934K02189K05936K02228K05895K02188K00595K02191K03399K06042K02224K02230K09882K09883K00798K19221K02232K02227K02231K02233K00768K02226K16651K04720K04032K03404K03405K07145K21480K01195K03594K22336K03181K03179K03182K03186K18800K00568K03185K03183K03184K06134K02552K02361K02551K08680K02549K01911K01661K19222K02548K11782K18285K11783K18284K11784K11785K00355K03809K19267K00457	3075.2965644844	3526.8494959445	3946.8860686931	5122.1076663013	7432.1016632562005	5623.4962045849	3988.7048065459	6974.8740786706	5345.3630949478	4436.3562671498	5445.4874298204	4657.7603117372	19810.6428885606	7016.5913815852	5177.9949461868	4519.4285884974	4579.9396995018	4064.3335953121	5087.8091970009	4344.6790663691	7121.3563083374	7561.360557954	3751.4478842364	3849.0891678579	5771.8336863453	4718.6378547795	5482.5445502269	6751.5006812565	4964.3558690317	4398.7506240974	4577.3859863973	2756.4669557877	4656.92178574	5297.1190467336	4729.2508485086	4831.046443695	6704.2548631821	5802.7262617309	4303.1970288777	6160.615303213
Metabolism of other amino acids	K01579K18933K01580K00823K07250K15372K00276K00128K00137K01918K17722K17723K01464K00822K01692K01825K01782K00248K00232K00140K01580K00681K03119K03851K00259K19244K15372K15371K00260K00625K13788K15024K00925K01841K09459K05306K03430K09994K00968K03823K06164K06166K06165K05780K06162K06163K06167K20859K01739K01760K14155K00548K00549K01761K11717K00384K07309K07310K12527K12528K12529K00955K00956K00957K00958K01008K01042K01874K05349K05350K00681K01424K13051K01914K00600K01455K01425K23265K00261K01776K01924K01925K23170K00824K17898K17899K21672K21898K19746K19744K01775K01921K00824K03367K14188K00681K07232K07160K23123K23124K06048K01919K01920K01255K07751K01256K01270K00799K00383K00031K00033K00036K00432K01581K00797K01460	931.1034921571	1098.5877166064	1074.5175770387	1620.4492340806	2558.8286353352	1879.7036287748	1121.6088789465	2408.2635081727	1662.4380244451	1246.70036514	1761.1445179881	1670.12567237	7737.0283477654	2276.6120068342	1675.5048707216	1403.6287907333	1400.7267634927	1203.8711134657	1418.780943076	1354.2125059185	2370.5222810042	2418.2543132717	1373.2190727831	1196.6886082969	2060.1136987292	1552.8717355155	1622.3846692808	2132.7899603278	1904.5491933204	1192.5157391361	1554.6108318632	782.2655937859	1543.2680188038	1452.501480906	1604.2103048243	1338.6197810871	2464.3914590814998	1852.2415472838	1468.5746556812	2068.5756976495
Metabolism of terpenoids and polyketides	K01662K00099K00991K12506K00919K01770K03526K03527K00626K01641K00054K00869K00938K01597K01823K00795K13789K13787K12503K00805K02523K00806K06013K06045K02291K10027K10210K10212K00128K00791K14731K00128K01692K01825K01782K12957K01640K00632K01692K01825K01782K00615K18221K00973K01710K01790K00067K19180K17947K20679K16435K13327K01779K02552K02361K01252K00216K02362K02363K02364K04781K04782K04784K04785K04786K16422K01710K16435	604.6840297639	671.4664527237	673.6557634239	1069.9473650046	1462.5339924394	1103.4627640816	699.7843479479	1708.516138553	1041.8419732188	630.3497780593	1150.3117534091	1297.5867446234001	4206.7421983432	1564.7849368055	1217.831285718	1092.6768112801	949.248336103	767.9324991848	1008.3552732198	801.8524138459	1894.9352614882	1293.2195988067	848.7208787032	700.7082048154	1235.9029183777	900.8554418370001	994.4556331127	1523.4089697036	1168.6367356779	708.8194185615	1266.0945116494	460.0640677432	979.3182744459	1040.9657681672	1203.4331689983999	875.8480752	1568.837408891	1147.3313065315	864.7144865885	1568.7840663186
Nervous system	K01425K01915K01425K01580K01915K03878K03881K03882K03884K03955	169.0755779598	145.3415269093	99.6231744745	159.13356543370003	345.8114146734	253.3218886316	149.5857416155	366.1300128442	277.0532896451	119.11528904869999	266.1407565034	287.9210186248	756.8027803748	178.3992341819	181.2238125707	103.57783726439999	245.43405472839999	92.13117608740001	165.14821849150002	323.2775190751	192.1919656347	160.76185304199998	252.44245462470002	183.004265751	221.9325755403	294.0551877524	243.301923745	311.1775017715	255.9714241031	169.3272726718	109.5810422444	112.11719838529999	247.2945623126	217.90462336910002	88.27778774730001	152.403551474	208.3326275057	284.1647887683	287.787042883	283.4140132234
Neurodegenerative disease	K00134K03878K03881K03882K03884K03955K00411K00412K02262K02256K02261K02132K08738K03237K02927K03237K03878K03881K03882K03884K03955K00411K00412K02262K02256K02261K02132K08738K03671K08738K04565K03878K03881K03882K03884K03955K00411K00412K02262K02256K02261K02132K13525K03237K00432K03781K03120K04565K04564K00432K03878K03881K03882K03884K03955K00411K00412K02262K02256K02261K02132K08738K08738K03120K17680K04565K03237K08738K03878K03881K03882K03884K03955K00411K00412K02262K02256K02261K02132K04565K13525K02927K03237K03878K03881K03882K03884K03955K00411K00412K02262K02256K02261K02132K08738K00432K03781	76.2430921825	247.1200715379	63.300367211899996	185.3429153974	312.3629495519	275.2156304715	44.0972534502	266.2484226332	128.7677503969	55.4195697646	232.4800441978	219.06232595330002	1275.5055179398	185.0444484352	180.8403221993	85.6206742361	168.9966810606	89.0590084576	134.60854063890002	146.7260582531	137.8683146393	244.0365973563	119.3965072356	99.1859898988	260.1550538922	171.9034622417	177.1401728705	258.4893264971	210.5893574073	114.55663499820001	151.2983800799	74.5194295718	168.68368575210002	104.7041423109	156.19573196070002	93.7964530812	295.9465794236	222.46908749460002	206.338978408	130.2685998765
Not included in regular maps	K08088K00528	34.1583906145	21.753811993	53.9921799029	24.6642026891	60.9992136695	25.271323895800002	27.064938343	81.2155830758	45.5822890839	29.6059728406	14.8361260085	52.7272668989	114.643363629	175.242345307	3.8734956507	12.6315841286	30.1890520035	24.1897153879	29.0721710755	14.780735726	125.3936144578	41.1829713037	11.8429033875	28.1010607172	40.0630525042	24.6738786455	11.2577242121	36.8155695651	53.905372461	2.7949555111	9.140467053	31.9669445749	22.6764574657	32.0005126077	55.6738359891	5.4650839813	14.1602214025	31.309317126699998	36.3763354728	5.2801457042
Nucleotide metabolism	K01515K08312K01839K01835K15778K00948K00764K01945K11175K08289K01952K23269K23264K23265K01933K01589K01588K01923K01756K00602K06863K11176K00759K01081K11751K03787K08723K20881K00892K03783K03784K09913K03815K01239K10213K00760K00088K00940K01529K02428K00769K03816K00087K13479K13480K13481K11177K11178K13483K01518K01951K00364K01487K00942K00873K00525K00526K00527K21636K01129K01139K01524K00951K07816K01768K05851K05873K01939K15519K01488K01241K06966K01486K01119K00939K10353K03651K19710K01525K00955K00860K04765K00956K00957K00958K16839K22879K07127K16840K16841K01466K16842K02083K14977K01483K01428K01429K01430K14048K00073K22602K00926K01955K01956K00609K00610K01465K17828K02823K00226K00254K00762K01591K09903K00940K01937K00945K01494K00876K01081K11751K03787K08723K20881K00757K00761K02825K17722K17723K01464K06016K09018K09024K09020K09021K09023K16066K09019K00756K09913K10213K06966K01485K03365K04765K00527K21636K00525K00526K01520K00560K03465K01489K00758K03783K03784K15519K08722K01493K08728K00857K00943K01119K01518K16328K16329	2103.3592526558	2476.0225047966	3020.7174402176	3581.9097179398	5221.3885624932	3930.7116676037	2382.0597543194	5428.938624843	3927.3480245002	2511.5311437211	4129.6337787254	3884.1233963484	13899.5996741648	6237.7772568209	3505.4887481761	2902.1747152994	3200.8077531916	2711.8025305451	3527.7904653148	2854.4369188754	5763.2459375808	4575.1285184869	2679.5727047153	2688.6682940991	5104.0206687371	3775.6851269131	3689.3144838663	4910.3769569945	3669.9303773967	2831.2890969152	3559.0262990109	2009.0223216887	3537.843286179	3508.1094503111	3951.8320170726	2932.571826408	5131.1652839198	4153.1926984049	3371.219814213	4603.7910079886
Poorly characterized	K02441K03558K03791K03796K06192K03810K02348K05811K06197K06198K02617K04065K04477K06866K06877K06878K06886K06994K07001K07023K07025K15724K05997K09014K09015K07038K07048K07058K07082K07113K02426K07146K07153K08279K04750K11477K11739K11740K11811K12147K13255K13918K02351K03744K03925K03745K03747K05805K02742K03095K03749K03112K03933K03748K03975K03808K05594K01421K00389K05812K08972K08974K08981K08983K08984K08986K08987K08989K08990K08993K08996K09858K09914K11312K03618K03619K03931K05775K13256K14591K06193K21741K06860K06867K06871K06872K06884K06885K06887K06888K06889K06890K06903K06904K06905K06906K06907K06908K06915K06918K06921K06923K06926K06929K06934K06938K06940K06946K06950K06952K06954K06956K06960K06962K06971K06973K06975K06976K06978K06987K06995K06996K07000K07002K07003K07004K07005K07006K07014K07015K07017K07018K07019K07030K07032K07034K07035K07039K07040K07045K07051K07052K07054K07064K07068K07069K07070K07071K07074K07075K07076K07078K07079K07080K07089K07090K07093K07095K07096K07098K07099K07101K07103K07105K07109K07112K07117K07118K07120K07121K07124K07126K07129K07133K07136K07137K07138K07139K07140K07148K07149K07150K07157K07161K07164K08998K08999K09004K09005K09009K09116K09117K09118K09124K09126K09128K09131K09133K09137K09138K09155K09157K09158K09160K09161K09163K09167K09384K09386K09701K09702K09703K09704K09705K09706K09707K09712K09729K09730K09740K09749K09762K09764K09766K09768K09769K09770K09775K09777K09779K09780K09781K09786K09787K09790K09791K09793K09794K09797K09798K09799K09801K09802K09803K09805K09806K09807K09824K05952K00243K09857K09859K09861K09862K09891K09894K09895K09896K09897K09898K09899K09901K09902K09904K09907K09908K09909K09910K09911K09912K09915K09916K09917K09918K09919K09920K09921K09922K09923K09924K09925K09926K09927K09928K09929K09931K09932K09934K09937K09939K09940K09945K09946K09954K09955K09956K09958K09959K09960K09961K09962K09963K09964K09967K09973K09974K09975K09976K09978K09979K09980K09982K09983K09984K09992K05937K05967K01163K07502K07584K07220K07269K07338K07586K07742	1869.350933185	1940.7726586855001	2172.285316799	3260.3149290522	4871.5818907073	3392.4419326659	2637.425527276	4395.682522198	2587.1720585575	2726.5711417365	3190.5141582625	2672.1220131896002	16600.6969853921	4487.1413635308	3006.7903784558	2479.7360824352	2594.5496856723	2635.4851290682	2924.223539652	2235.9650521541	4427.9855020277	5814.8241206848	2175.0532233811	2051.8838799768	3719.0625189571	2412.2461060705	2991.0963495537	3936.0374224282	3431.6100104866	2674.8614446775	2676.9559271545	1803.0693557449001	2697.41104176	2957.3028949027	2920.1332605732	2524.8282974773	4538.1757135414	3511.7978192196	2146.0524901972	3176.7397725216
