PathwayL2	KO	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
Cellular community - eukaryotes	K14394K04802	0.0	4.1617737917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0301081044
Cellular community - prokaryotes	K07173K03666K01657K01658K20257K12990K01626K06998K07645K07666K07711K07715K02403K02402K11006K07667K20263K07782K01580K20265K10555K10556K10557K10558K11216K11531K08321K11530K20266K07344K02055K02053K02054K02052K01999K01997K01998K01995K01996K13075K22956K01728K07781K14051K20276K01897K10914K09823K01218K01497K11752K09936K18139K07800K07813K07706K07707K16619K11031K12292K12293K12294K12295K14982K14983K15580K15581K15582K15583K10823K20342K12296K20344K20345K20373K20374K02035K02033K02034K02031K02032K20375K01635K03217K20379K08605K14645K12257K03073K03075K03076K03210K03070K03110K03071K03106K07699K01114K20480K20483K20484K20487K20488K20490K20491K20492K07173K03666K01791K02472K00640K01912K05946K03606K20920K20988K02452K02453K02454K02455K02456K02457K02458K02459K02460K02461K02462K02463K10939K07678K07689K03563K02777K02779K05851K10914K03557K03092K03087K02405K02660K02659K02658K01768K03651K10914K12990K01657K01658K20257K07678K07689K03563K20974K20976K02398K02405K11891K11893K11901K11900K11903K11895K11907K21019K21021K21023K16011K12992K21011K21012K02777K05851K10914K02403K02402K02398K02405K02425K06204K03087K21084K21085K21086K21087K21088K14051K21089K04333K04336K18968K21090K00694K07173K11531K01991K12687K07782K07678K07689K03563K00975K00703K00688K11935K11931K11936K11937K04761K07648K07773K07677K07676K07687K07781K03566K03567K07638K07659	1438.6569623892	1396.4262936039	1546.0921655066	2670.0624378996	3818.2353000424	2594.198393233	1388.1701071848	4332.6568137532995	2256.2266491712	1810.9447130228	2276.5717003745	2462.5843390652	14054.7422600806	3526.6987179559	2485.3597469866	2431.3405110431	1648.8989904887	1790.2548493914	2119.9800320649	1543.4215268345	3533.6128777098	4139.8294326016	1660.8610989956	1625.0735892651	2571.4062661853	1838.2407689544	1803.341313127	3035.4802231405	2900.6450581083	1542.0679704428	2526.0540972468	1206.708284932	2000.2801021823	2043.8784558436	2239.6550806556997	1737.5180767432	3953.5997863194	2630.3054937298	1708.5066395717	3418.3710943587002
Circulatory system	K00411K00412K02262K02256K02261	0.0	0.0	0.0	0.0	0.0	0.31654382319999996	0.0	0.205047769	0.0	0.0	0.0	0.1425565212	0.0879691842	0.0	0.0	0.0	0.0465881367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3594297646	0.0	0.0	0.0	0.0	0.0	0.0	0.112259957	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Development and regeneration	K00901	26.8010364185	29.8680638102	31.2252110149	30.2342081021	33.1826319708	38.5904065768	53.3316839762	26.5493375564	18.1688540109	35.364804102600004	50.630256149	12.1778458541	107.2959388753	8.787567812499999	44.2567448425	34.424526858600004	36.5590365601	72.35970026780001	45.6695349565	19.1074219671	66.3662621869	158.599555416	18.3616493548	26.0556301436	23.3962414331	32.0875909854	47.5546597064	43.8405024507	23.2238573907	40.652642291700005	8.9064908461	16.9924688325	11.0033711123	53.6894322001	8.8044476531	38.7553529475	27.2801942846	64.2711414358	11.9880605294	8.3841207022
Digestive system	K01176K01176K01176K00844K01278K00626K05770K07213K17686	90.67745514410001	94.7713973438	91.3446226771	118.685603214	173.3215653446	98.3343361146	208.7958811751	53.8654560578	86.5833980158	115.3159085852	132.6007127788	80.01671746310001	788.4775608529	44.14344505930001	184.02893979150002	128.9444643888	93.8828213474	231.38869862829998	132.20228527359998	85.16541540770001	214.41618974590003	481.70471820430004	124.0076705863	85.95892818019999	131.6291176176	125.4881632138	151.94843207059998	129.7472864304	97.1520627106	97.3113919427	79.26779105039999	76.82375058219999	113.87944611399999	139.8610940069	103.99505602400001	124.5496572035	144.0686161552	169.0831523736	61.9272448192	106.3420760794
Drug resistance: antimicrobial	K09476K09475K08218K01207K17850K01467K15580K15581K15582K15583K10823K02172K02171K17836K18094K18095K18136K03585K18138K18139K18144K18146K12340K18104K05366K03693K12555K00687K12556K05515K03587K18698K18699K18796K18767K17837K19215K17838K18790K18345K18350K18344K18349K08641K01921K01775K15739K01929K01000K02563K18866K18856K07260K18348K18346K07637K07660K12975K12973K07806K10012K10011K13014K07264K12962K12963K19238K07643K07771K03760K19239K19226K19227K19228K19229K19230K06079K07640K07662K01448K19236K04771K03673K03767K13632K03585K18138K12340K00677K03367K03739K14188K03740K14205	605.608475236	615.6597233837	630.6084824711	1005.0135936921	1666.7105346237	1187.9236598051	724.1654029168	1259.5755462287	979.3156464453999	793.2583751323	1072.9215646254	927.9894364326	5268.3575309392	967.2572185265	902.5313521426999	902.7780874087	779.2571100765999	766.1491261949	896.2928148561	939.4025755709999	1190.081696426	1687.9220455980999	774.5180312949	735.4739776231	1117.3190884156	877.1419499108	1194.6539406097	1318.4480140574	964.6807345428	829.4594833698	789.7067169196	477.6728449896	843.1502688797	886.3957339784	722.5271040816	771.5712741276	1316.1558341094	1232.7940026668	844.4428091044	1034.6157712027
Drug resistance: antineoplastic	K02991K17686K00799K08738K00560K00287K00600K00297K00602	137.9267301047	201.3545252813	217.0149451648	249.287145705	402.2711033136	301.5801768683	134.4226244837	286.8556372541	242.7888768345	130.4754073724	294.7381581269	282.2879320693	993.2565867036	546.4943544796	217.0746866995	139.42780915970002	244.7990009309	173.65409053000002	220.2071201648	245.94170479550002	357.4938269941	221.36302957409998	135.6229616471	187.1632438908	473.7311135834	223.86726999450002	285.52356628539997	342.2088351423	228.838878735	246.6020206449	235.2066191413	124.51160940540001	274.4280699342	248.8419248766	345.5845565517	222.83526123570002	327.8624182927	315.7588464379	267.9239582728	165.3198073737
Endocrine and metabolic disease	K00844K00873K01580K04077K03237K08738K03955K00411K00412K02262K02256K02261K00688K01596K11533K00820K01679	151.9272578212	181.2963967568	163.5723035896	252.6583285857	354.8069073898	285.50410957549997	182.1758748497	425.8250707082	284.5886260354	143.07360158880002	320.4321307691	303.0425184587	920.4551129033	431.2550635828	258.26126638520003	204.53163309319999	246.7728129012	180.0761539643	241.4867768862	234.8910952455	429.7877234212	269.5863160816	231.4991495012	186.3092057141	302.25147567429997	265.8953579372	273.1248214797	366.804174217	246.5483913525	184.6425198516	257.9124837845	133.3437707565	295.9152358728	256.65424426429996	251.823970941	154.6903918278	302.053004083	319.6063900226	250.85519634259998	429.70085422889997
Endocrine system	K00688K07192K00844K03841K01596K02991K01596K00688K03841K00850K01834K00873K00161K00162K00016K01897K01596K01641K00029K01897K00232K00249K01596K00864K04079K04079K00965K03234K00432K00383K01114K00850K01322	409.9018683826	562.9624318273	473.9998706232	785.3638435425	943.9596904117001	726.6993925567	461.1390626145	1102.7459254281	841.1599283758001	532.0985945623	893.9568680994	843.2743478813	2433.1677944124	707.8689267165	800.1480110121	788.0310221912	587.1704630984	638.2007853653	666.1029965713	674.9451242633	931.1983643727	956.6888381430999	585.4205478418	572.0858364482	923.6964035029999	735.644527372	910.7573682694	1016.5895332646	558.8386924606	594.8068835112	858.5529090588	330.5854236555	813.2356080808	756.5201032303	678.8798763558	602.8658081408	996.3761975885	929.0250394993	699.7276782847	1020.8737346298
Energy metabolism	K00330K00331K00332K00333K13378K00334K00335K00336K00337K00338K00339K00340K00341K00342K00343K05572K05573K05574K05575K05576K05578K05579K05580K05581K05582K03878K03881K03882K03884K03955K03885K00239K00240K00241K00242K00244K00245K00246K00247K00411K00412K03886K03889K03890K03891K02257K02300K02276K02274K02275K02262K02256K02261K02259K00404K00406K02828K02299K02298K02297K00425K00426K02111K02112K02115K02113K02114K02108K02109K02110K02132K02117K02118K02119K02120K02121K02122K02107K02123K02124K01507K15986K06019K00937K22468K02703K02706K02709K02689K02690K02691K02114K02112K02115K02111K02113K02109K02110K02108K01601K00927K00134K00150K01623K11645K01624K03841K02446K04041K00615K01807K01808K00855K01803K01621K01783K01595K01610K01006K00029K00024K00169K00170K00172K00171K03737K01007K01006K01595K01958K01960K00024K01676K01677K01678K01679K00239K00240K00241K00242K00244K00245K00246K00247K01902K01903K14534K00626K00174K00175K00177K00176K00031K01681K01682K01962K02160K01961K01963K09709K05606K01847K01848K01849K15022K01938K01491K00297K00198K00196K00197K00194K00625K13788K15024K00925K01895K00121K01070K00123K00124K00127K00126K15022K00197K00194K00198K00196K00600K00830K00018K11529K01689K01595K00024K00863K01623K11645K01624K03841K02446K04041K00850K16370K21071K08094K08093K07811K03532K03533K07821K07812K00200K00204K11260K11261K01499K00319K00441K00581K00399K00402K03388K03389K03390K14127K00925K00625K13788K01895K00169K00170K00172K00171K01007K01834K15634K15633K15635K00058K00831K01079K02203K22305K14080K14083K05979K11780K14941K16793K18933K09733K07144K01455K02575K15576K15577K15578K00370K00371K00374K02567K02568K00372K00362K00363K00366K03385K15876K00368K04561K02586K02588K05601K00459K15371K00260K00261K00262K01915K00265K00266K01725K00926K01673K01674K02048K23163K02046K02047K02045K15551K15552K10831K03119K15553K15554K15555K04091K00299K00955K00956K00957K00958K00860K01082K06881K00394K00395K00390K17226K17227K11181K00380K00381K16950K16951K00385K00392K17218K16936K16937K08357K08358K08359K08352K08354K01011K02439K00640K23304K01738K00651K00641K01739K07306K07307K07308K00184K00185K20034K20035	3289.3463920026	3935.0426535704	3729.0401386437	5345.4713326462	7964.5033599861	6126.9009932865	3579.3366426727	8613.8857515785	5603.5547958049	3641.5885928531998	6334.8816975267	5525.2150495454	21089.0932963885	8959.0002207869	5221.6162023659	4127.1977463087	4869.9643252918	3695.0234176252	4767.6590871269	4765.0302453906	7687.7015459758	6408.2054576293	3852.5245070569	3832.1683309095	6327.3893540103	5312.2096219131	5639.1504303701	7600.7262067865	5471.6320542703	4366.6340286419	4808.7339774824	2966.2324233741	5568.088239647	5356.0215578966	5043.0183927408	4231.0538434805	7474.2841245473	6413.4862639282	5213.9281675979	6621.3963734886
Environmental adaptation	K02991K01897K03878K03881K03882K03884K03955K00411K00412K02256K02261K02262K02257K02259K02132K02406K02358K00864K04079K13408K13409K12340	168.6702945364	236.3890027867	218.39333047830002	268.866242235	358.6885653931	267.316230725	243.68725097700002	331.3393808967	352.63377662290003	298.2049827514	316.58139280729995	294.0286501791	697.5701763152999	238.31820790640003	286.2217228413	282.3353282726	241.4355889091	287.08943964009995	262.2533481992	279.2993647901	339.9843910577	378.3489206392	226.1092845508	248.2273744171	268.79167300250003	343.0351535147	350.3438959291	322.4836765252	242.044014922	242.2701775415	311.1515437369	180.11816697540002	302.5763954946	281.006560864	265.9079921293	260.5776193896	327.1367176033	336.1114734567	280.6409867995	279.933594491
