# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
K00012	6.0758922378	22.4319500603	4.0818806681	24.9918247616	11.3127535101	16.6991603181	0.6681096883	8.3212566636	4.9050622265	2.3615652546	34.2845053007	34.6803446065	72.4176856898	15.977842112700001	3.8021038584999998	1.5092359738	7.2967800605	3.2462073154	9.3508005006	8.6554375548	0.5575452957	10.1211591697	6.3171078713	21.2888884088	25.383878338299997	11.0102652087	10.9858420265	33.724615369300004	4.4134075441	12.4451850406	14.1603500105	9.0200574337	10.7531196543	5.5903245679	1.7205083078	6.4323881238	36.6159208272	7.7661207553	19.2634987657	34.0533262126
K00013	52.4890744522	39.4167467429	131.4333434088	88.12698070409999	82.80088381430001	39.5050934318	40.9516050207	156.9336293375	38.2604305069	43.0256819488	54.4748783844	64.208001729	161.3083139522	132.2186327257	54.1000318026	76.4192560056	59.671491856500005	65.4457727523	65.3251017717	78.6245744409	104.2682581592	25.6522113628	54.9257514814	60.2915944703	67.4574503327	45.5426621513	66.968433476	87.4428310754	36.3646400679	72.6143325906	98.4391231162	48.6873916907	65.2067861842	70.1819304779	125.055749269	110.0309895189	118.5204411799	45.1685629593	54.3939555394	85.03385594059999
K00014	23.1730493523	34.1168770712	22.2401580432	33.6281128465	76.3832865888	74.4839531237	21.1838726006	26.517128614300002	73.4192872475	49.718472019800004	57.7823347571	46.9405331789	122.3228117811	26.2825117614	47.0171653031	38.0033266028	54.1457489701	16.7790106571	27.2164215091	38.9718663993	11.9739103214	38.7966935942	58.4526969816	43.2853899104	41.3862383771	50.6081562113	66.2285916682	78.0694583497	29.957231538800002	62.4655724609	25.8981940601	23.9196262991	74.3180530873	51.1952579876	50.5462816131	37.3592736257	55.905377127	57.443511580700005	48.998613162	34.4312525979
K00015	2.5999018031	0	0.0410881252	0.3892069075	3.1543130285	2.0019936634	0.6162863723	0	0.8785739366	9.1531769711	0.1180242347	0.1082463076	4.3608458975	0.1682346992	0	1.3911462273	2.6356052449	0	2.748564971	3.8065445279	0	0.132883508	0.9760911105	1.1712717955	1.5086571547	5.246417855400001	0	0.0710820932	7.252866344199999	2.9943438416	0.782031069	0.1585178159	1.4301692654	5.7007027859	0	12.5870524787	0.4069201335	0.1651783306	2.4041461348	1.4729076591
K00016	12.4430312266	8.153222491700001	12.1710250584	33.5135583797	11.303878042000001	9.8949547983	7.378883388199999	82.4034552338	25.199476509	18.436964770499998	18.1856497526	37.3732575811	31.2281862625	41.4744776432	60.3786245255	63.7624446708	10.2050688002	22.4279255354	14.5127993928	14.7306165324	65.1316703057	25.8461970326	37.2981377071	16.6551698325	39.4616442203	12.408214149	5.7873883714000005	30.395368354699997	37.7275237128	12.927671257	68.3188601912	7.9838962979	14.0024481355	13.4906734984	35.9181577115	30.1838286067	56.9178737542	13.9944957607	13.8046553479	132.2777454446
K00018	31.1105426246	24.8665449002	36.407554912	36.056053717000005	10.1487477682	5.9018949629	68.7192963925	36.5427269076	4.5115474347	45.5164746788	24.7956968915	5.8363973209	0.5271318965	36.13167855579999	38.7528911952	35.4614664234	20.4277583191	76.928104629	40.4743282505	14.5046600699	69.7703526085	134.0294719374	17.4548894134	20.3736253319	40.380399261499996	26.6203635463	32.8986787292	16.3284381567	1.5577037553	41.3662363821	12.3965678209	20.6899243577	4.4243334531	37.3376467888	13.2440412245	36.7085396749	14.940775614900002	46.1560068903	3.7610985994	11.300699504699999
K00019	0.0452745237	0	0.1746047146	0.3215997627	0.9039032284	2.4439645673	0	0	0	0	0	0.2650177308	0	0	0	0	0.9750044483	0	0	0	0	5.6273008538	0	0.499270237	0	0	0	0	0.178581599	0	0	0	0.8168722561	0	0	0	0	1.1895556289	0.0931945612	0.1787726839
K00020	0.1659961213	0.0508884953	0.16868162120000002	0.5115678548	0.6980909628	2.309988415	0.2521560053	0.1622936725	0	0	0.2191644794	0	0.184104132	0.6484927202	0	0	0.8693843833	0.3376169046	0.1676897799	0.7902009375000001	0.3456543419	5.9898133124	0.9065115476	0.6586747825	0.13927393329999999	0.5388123032	0	0.44225836510000005	1.2054299853000001	0.638998562	0.8330475737	0.1888802436	0.9435043101	0.20067018	0.1593174127	0.2850488516	0.0892685771	1.4169125347	0.39599317450000004	1.7037685173000001
K00024	32.3422744614	49.9901292292	12.1154678555	26.2923781473	80.7189582465	76.7005057872	19.3288712748	28.2835103351	68.16977550760001	12.3350977776	78.49844945160001	57.6820878406	146.4281454623	1.7105550181	18.17298492	5.1613520731	76.4713117126	9.750003453	19.1903454283	79.5448566261	3.2622312738	22.3660611413	40.2893860254	46.191593443900004	54.5527706605	79.1760702591	84.9091245711	91.6528394372	21.5092387235	44.1244729057	3.4296647790000003	20.892453067	82.8115423407	71.1210826523	7.0690727517	30.1441535229	26.1561115627	90.0760559808	93.4811023596	10.4934354421
K00027	6.5490121301	3.0547774174	4.3901421248000005	7.123680766200001	20.8401451431	11.8029212645	9.032048918900001	9.1359975359	10.526873136799999	14.480226142800001	2.9287992364999997	5.0381453967	78.8244900925	16.0555160639	17.6118558842	4.5997831976	6.7950837442	2.6432925838	11.8987012461	4.1669478266	14.4959850572	17.0738885345	3.3535150387	4.5587217719	5.4439013756	6.7730129555000005	2.9088547859	10.6679646949	19.7003201745	6.5816717732	6.478195095099999	3.1322760882000003	7.577724921800001	5.4562216765	10.729190374	14.103973162399999	20.144468812	5.7405258426	5.1105507376	53.719631697
K00029	16.7219546179	9.9649886661	4.0060534148	9.5684357977	36.0905114782	15.0474123108	10.974848318100001	10.554240599	17.213741403	1.3390217232	11.6767657771	15.2002431242	73.6693963852	0.086676294	1.4289953584	1.6645414936	18.355667209099998	1.4502075577	3.7455989534	15.993533923200001	1.0717987004	16.0713704753	20.3511345856	9.7097598651	4.0996418056	21.4301851662	19.8797342628	11.201545646	8.0892398152	11.918193758	1.3863438795	5.7545657188	14.236449708399999	8.8248683213	1.6714876813	2.4885722807	10.0589323905	22.6271879498	14.716502571900001	2.1370426417
K00030	0	0.1963185126	0.6664607915	0.0609955946	0.2487927932	0.1567821364	0.892529997	1.1477231422999998	1.0138847222	2.053892277	0	0.280550984	0.1566620718	2.1175666259	0.9775402599	0.151712984	0.2406361032	0.0683653845	0.1433704866	0.5129867162	1.4560607309	0.3716300154	1.7089249493	0	6.4338149961	0	0	0.5850712468	0	0.1811506905	0.0604727352	0	0	0.1684484716	0.8232396961	1.070888218	1.3663143741000001	0.1462317881	0.1993410999	0.9562388178
K00031	28.107335532	23.907347616099997	42.5881700003	43.82715793	35.3179814723	33.2626553706	64.3107272845	64.6291794102	25.969947346999998	29.459426218500003	33.0673610702	32.8212942571	109.5086477764	93.0345115132	53.155375373000005	62.2135196338	24.5228197845	71.5713229324	45.4519103651	9.2416045229	134.4890077306	130.6975295572	20.258356792799997	27.681269186799998	32.0771576135	34.4898906721	33.7818404811	33.7571559184	18.8519126522	16.1036009266	43.9329053556	21.3059934433	30.9459651642	41.7771339039	42.1567763538	31.7995929321	41.8591321116	47.985349495200005	20.668229450800002	55.7554858303
K00033	14.28938173	9.201440787600001	45.4318206818	30.1150250474	57.4724316378	19.9942189218	29.9088868964	69.1820011589	50.9435544647	1.8490977315000001	31.2354240403	47.7454053414	159.9609241107	257.8874547163	8.0017925503	12.7121794707	24.121013019	16.2568375947	42.3766466259	17.9493972358	168.4919901861	13.891320842099999	7.5953811288	18.4641101307	77.4750462399	18.8505088352	19.5167042231	30.0401326225	26.123556261	6.1405016969	43.9367875306	8.1245533536	31.7201550721	17.088750756099998	76.503060741	4.526563534	39.8963183999	25.0129894219	36.8893475388	26.889246875
K00034	0.1518684717	0	0	0	0	0	0	0	0	0.1235552814	0	0	0	0	0	0	0.071880143	0	0	0	0	0	0	0	0	0	0	0.1710789361	0	0	0	0	0	0	0	0	0	0	0	0
K00036	9.851085828399999	17.195961775300002	12.3269655649	29.3665413371	31.0920461881	40.6970925142	8.2985933191	68.8711844937	32.0904567304	13.5875580711	36.1401472355	22.857120386800002	119.1054827002	20.5337375698	47.4660480158	43.5186974601	27.3339435144	11.617463076	13.9361000949	16.5000685363	41.745952141800004	19.9384607426	37.7201830654	15.6941419405	33.6148476989	14.6204740454	34.2080411058	56.1099615077	26.21462959	20.4850516607	18.9249813928	10.7175662416	23.6970717571	31.067557618800002	4.595709043199999	23.784837466	51.267111536799995	32.2324158391	25.2900074117	94.3784319611
K00040	0.5687957123	0.142585585	0.7656922449	4.2721757459	12.9692695806	2.8762664569	0.0644940767	1.7391523537	0.3017054067	0.2968609364	0.7326781024	0.3796871247	10.2869709404	0.1071743954	4.3532673378	0.8667991831	0.0496161841	0.4296597673	0	0.1315150044	2.3194732258	9.2955576792	0.7474482739	0.2985704494	3.0560978916	0.3454504185	1.7678260279	7.2937636483	10.5686751611	0	0.0562667922	0	0.2226786299	0.4110318175	0.5879387159	0	5.8432252341	2.3225790124	0.9867390456	0.1196520187
K00041	5.1044168447	19.5807303429	7.5466605151	13.0009932684	31.6859977674	45.397988871	3.0788125845	9.4203991367	33.5569407144	4.9071909232	58.1552243107	15.1316632821	102.6050104547	0.8522865705	13.009268947599999	2.8283746704	32.0172749029	8.296584475	14.7483750541	16.939715970199998	3.1567293902999998	14.0845330445	20.5399658818	15.3956660746	5.577607228	54.1589819899	33.409818278	32.826096636	16.4317833237	19.0642771188	1.5423490753	11.4863051242	19.9322641477	22.060040785400002	6.3249247354	12.1737880412	16.1958906099	32.5002075131	37.3495181152	4.3573990831
K00042	2.7761511114	0.8438611667	2.9809812233	11.265769354700002	29.300072951	14.4938838623	0.1407143247	6.5101124265	1.2524475188	2.3125125925	3.2946030434	1.6793153628	167.6963226742	0.30970104200000004	2.0553435678	3.0197821042	1.5927364183	1.9421420504000002	0.3635855	1.2996549987	2.3951571358	25.0710933581	4.2123778473	4.0293471685	4.0756779951	2.0467425188	3.6161248935	16.4278317867	18.1019194618	0.0723060543	0.1334086307	0.1435902585	2.1086756176	0.7671905914	6.2086531547	0.2276595242	17.270166271	9.682827164199999	3.2474119803000003	0.7597891799
K00043	0	0	0	0	0	0	0	0	0	0	0	0.0904974191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00045	0.2218798741	0.731790912	0.4220667414	0.5476744559	3.3055733927	1.0391389007	0.9291540707	1.021627609	0.4495599019	0.5269065944	6.8869108492	1.2512038191	2.4430126959	0	0.9203116349	0.2320816666	1.5298408809	0.2291696204	0.3318403945	1.9211624779	0.1901826473	0.2181523122	0.4783960045	0.590082331	0.5068219295	2.3935535638	3.4519314141	3.8361751284	0	0.506033807	0	0.6538117276	1.9908304082	0.2464790456	0.5507699486	0.9988707051	1.1878398257	2.2058454891	3.9061628019	0.4900975537
K00046	12.5663540285	31.8155148022	7.1927951526	18.5712092178	42.478998975100005	51.2194359015	6.5883937601	10.014307364599999	41.3532804024	11.8230079648	59.3752559607	45.6355066994	49.2915498497	0.5256202781	21.1255169644	3.7614406046999997	55.88181642919999	4.1922774929	17.826296270900002	39.0101215707	5.1871165846	4.9828119144	18.565738035	28.3146884188	14.0176472586	43.869170132799994	64.2122008522	59.4526709284	20.9507092146	35.9865244901	1.9552530742	12.358706442399999	44.4145318891	45.607044699499994	5.5912543989	21.368480796300002	18.7920524886	53.965233832900005	54.3165703557	9.2456485474
K00048	11.7915215948	13.2386226587	27.9899319918	52.7385019863	30.434702721	12.1170973077	16.6760203713	107.3876520724	34.081055882	6.6562088812	27.3647716774	53.7275156911	140.0348467849	129.2712955902	34.6548362194	50.0216937887	14.5952958756	24.237929117700002	42.0698855933	7.101144485400001	109.5565569035	13.4456536092	19.9596161618	15.110879706	24.2375921193	16.1960390669	7.33557548	45.2212672435	34.012891003600004	0.3929781379	79.7288619194	4.6147109364	28.0905572862	23.9968737728	62.802434665	16.2367833546	78.9289447144	18.941603893	21.787252576300002	72.5591040398
K00052	34.3258154874	51.6515873574	49.3884860482	61.0461604699	92.7216664757	79.53726285479999	37.8931957695	121.8496663357	109.3305914247	35.4366014164	103.22309718010001	80.6694370495	193.9165745094	201.68994767810003	65.813660221	52.8708218598	70.8486105425	33.4604634821	70.7529346853	62.515945953	149.371694473	40.339270169100004	57.9562865721	54.1706401346	108.2844808732	103.90180684639999	66.11459043789999	109.8932877538	62.9369713852	53.8449722972	64.9342617993	30.491875367200002	89.2867632992	82.8166590342	75.2907998932	51.130051887600004	94.04326284390001	80.376134907	95.9480461493	128.01651644400002
K00053	63.3270141899	79.785176923	141.1975390042	134.2272080723	135.6136731238	107.88729263089999	63.7224768917	175.8950057919	128.9228128008	79.2839945509	130.6969235412	85.0238186868	197.5647426292	147.1134337524	146.1282226353	135.2531048447	105.4431615747	99.4543891519	159.5836658068	87.8618779721	119.8390189951	44.7620038592	95.6127839864	140.9190527352	107.1698591663	120.5116666608	122.4557931332	163.6805142402	67.39237229369999	113.5397333578	150.5563540433	79.899404237	143.2026624092	129.2961146145	164.1276667127	138.9046051496	163.0443291293	94.201350393	122.4318231159	146.9685411116
K00054	0.2356667334	0.8965323612	0.0944924426	0.7353490682	1.1377677095	1.3917448539	0	1.6434475222999998	0.1944794095	0.1219651988	0.9815177602	0.4497103852	0.1294861898	14.4813756659	8.1572733354	0.2425285964	0.6391997061	0.7715134487	3.7140778302	1.7576022984	4.5680434169	4.105267811799999	0.895452362	0.4883634014	31.348026880099997	0.2120950095	0.6489489645	0.47875397470000003	1.6117046189	9.506884001700001	0.3531973911	1.1703042804	0	0	9.5466373049	0.2556354147	1.7311242371	0.1941171329	0.4175638689	6.7952587452
K00055	0.1443788645	0	0	0	0	0.2840209098	0.0658711883	0.1142712284	0.1288533508	0	2.5192394075	4.9929868718	0	0.1011762425	0.0638259605	0	0	0	0	0	0.0846993633	0	0.5489020041	0	0.2960134419	0	0	0.9257657535000001	1.4910484145999998	0	0.1438707788	0	0.0690345847	0	0	0	0	4.4208878848	0.2444084298	0.4549046192
K00057	56.806115356700005	46.2024502153	96.6794949965	89.4793674048	109.3879676164	64.1422990707	101.1891288196	170.3070337842	123.9724141538	74.1586125564	91.484714621	86.3737868741	220.396116278	251.9792342895	105.2619770398	110.9622211188	80.8483095635	90.0482077079	117.5141514309	44.3444347878	245.8035542016	170.050256032	46.2025428078	77.0426616548	131.328940464	84.3578819252	92.2629343221	133.3776175854	75.7642933476	67.8438343506	116.7949268408	42.0132241258	83.1360237616	98.6945843866	120.0514553875	61.2031427636	126.50330732639999	106.8166176191	60.5077411404	176.9906754779
K00058	17.873932365799998	17.2031593543	31.188428339999998	58.331154995700004	55.1953626062	32.0272653538	24.4972886412	79.3293159205	34.461410010499996	22.2007906357	34.8382212884	56.1393468681	161.7336860696	133.4770683855	40.2655900188	17.2055414813	26.2254714946	16.524809229	42.1851304431	26.2546161276	106.44516192	31.634758655000002	16.7248125622	18.3964385826	34.2608823929	23.3613005895	22.739295493900002	44.7455378127	55.5165709462	31.9456665966	54.0647675916	10.9630323161	37.7144742134	26.779758633	54.019832943	24.029842152	51.2056570059	32.2765882705	28.366850949	24.6790308164
