"","Feature","P","FDR","FC","NPC association"
"Deltaentomopoxvirus","Deltaentomopoxvirus",3.84750119805551e-05,0.000524329809342466,0.917937931212395,"enriched"
"Chivirus","Chivirus",3.84929344851882e-05,0.000524329809342466,0.909227346653649,"enriched"
"Thiosulfatimonas","Thiosulfatimonas",3.87279285821633e-05,0.000524329809342466,0.927925325084279,"enriched"
"Cytorhabdovirus","Cytorhabdovirus",3.95014823459015e-05,0.000524329809342466,0.915071795608631,"enriched"
"Shalavirus","Shalavirus",4.03879544831959e-05,0.000524329809342466,0.908637352692622,"enriched"
"Lahexavirus","Lahexavirus",4.0488080716424e-05,0.000524329809342466,0.913055091908006,"enriched"
"Ludhianavirus","Ludhianavirus",4.05427428449868e-05,0.000524329809342466,0.914903670003861,"enriched"
"Camvirus","Camvirus",4.08126955806039e-05,0.000524329809342466,0.914233338409496,"enriched"
"Poindextervirus","Poindextervirus",4.08929317081621e-05,0.000524329809342466,0.901413101518672,"enriched"
"Norovirus","Norovirus",4.12057242530542e-05,0.000524329809342466,0.912789423251012,"enriched"
"Usarudivirus","Usarudivirus",4.13255207814163e-05,0.000524329809342466,0.913237156779325,"enriched"
"Percavirus","Percavirus",4.16046279125703e-05,0.000524329809342466,0.911469715204761,"enriched"
"Alexandravirus","Alexandravirus",4.16664105295518e-05,0.000524329809342466,0.920274118609655,"enriched"
"Pamirivirus","Pamirivirus",4.18845110865418e-05,0.000524329809342466,0.912350648711522,"enriched"
"Lymphocryptovirus","Lymphocryptovirus",4.23394161573237e-05,0.000524329809342466,0.915169332403517,"enriched"
"Betabaculovirus","Betabaculovirus",4.26172217193685e-05,0.000524329809342466,0.91244298431565,"enriched"
"Ghunavirus","Ghunavirus",4.26328977311392e-05,0.000524329809342466,0.914608335181267,"enriched"
"Cheravirus","Cheravirus",4.2823365935515e-05,0.000524329809342466,0.912913623054317,"enriched"
"Pandoraea","Pandoraea",4.30318480298658e-05,0.000524329809342466,1.23059601137975,"depleted"
"Attisvirus","Attisvirus",4.31497378353155e-05,0.000524329809342466,0.913124977796392,"enriched"
"Loughboroughvirus","Loughboroughvirus",4.32902883164628e-05,0.000524329809342466,0.924034470177784,"enriched"
"Nickievirus","Nickievirus",4.35720959779216e-05,0.000524329809342466,0.914959283760552,"enriched"
"Betterkatzvirus","Betterkatzvirus",4.36506659803691e-05,0.000524329809342466,0.915082619966259,"enriched"
"Chopinvirus","Chopinvirus",4.36613729258852e-05,0.000524329809342466,0.911445908013515,"enriched"
"Vedamuthuvirus","Vedamuthuvirus",4.37580493866256e-05,0.000524329809342466,0.912378314209127,"enriched"
"Metamorphoovirus","Metamorphoovirus",4.43191892436336e-05,0.000524329809342466,0.916029139659579,"enriched"
"Paraburkholderia","Paraburkholderia",4.43447850140283e-05,0.000524329809342466,1.18920909963606,"depleted"
"Korravirus","Korravirus",4.45988851269301e-05,0.000524329809342466,0.902816727461135,"enriched"
"Chuhaivirus","Chuhaivirus",4.46147862625253e-05,0.000524329809342466,0.913081864064972,"enriched"
"Phlebovirus","Phlebovirus",4.4649593529607e-05,0.000524329809342466,0.912818034081289,"enriched"
"Cequinquevirus","Cequinquevirus",4.46851895853577e-05,0.000524329809342466,0.912792493628335,"enriched"
"Otagovirus","Otagovirus",4.50268832445856e-05,0.000524329809342466,0.913743173494379,"enriched"
"Deltanudivirus","Deltanudivirus",4.52018043295036e-05,0.000524329809342466,0.91401338926132,"enriched"
"Ogataea","Ogataea",4.53265681671271e-05,0.000524329809342466,0.896646087980047,"enriched"
"Arvduovirus","Arvduovirus",4.53892774728375e-05,0.000524329809342466,0.911937518196671,"enriched"
"Prasinovirus","Prasinovirus",4.54611614051335e-05,0.000524329809342466,0.913352868975259,"enriched"
"Epseptimavirus","Epseptimavirus",4.5723020954657e-05,0.000524329809342466,0.913692925410049,"enriched"
