"","Feature","P","FDR","FC","NPC association"
"ENOG4106B6U","ENOG4106B6U",0.0046707438674219,0.999996497980396,1.04468710642178,"depleted"
"ENOG410XYT7","ENOG410XYT7",0.0046707438674219,0.999996497980396,1.04468710642178,"depleted"
"ENOG41081KY","ENOG41081KY",0.00467849940800227,0.999996497980396,1.04162212217654,"depleted"
"ENOG4108Z7G","ENOG4108Z7G",0.00493828014546089,0.999996497980396,1.02887541109766,"depleted"
"COG2246","COG2246",0.00493921398767037,0.999996497980396,0.944623219544357,"enriched"
"COG3948","COG3948",0.00501583222212485,0.999996497980396,1.01593551920323,"depleted"
"ENOG4105XRM","ENOG4105XRM",0.00507746337553231,0.999996497980396,1.03738709522062,"depleted"
"ENOG4107QW3","ENOG4107QW3",0.00509666974107186,0.999996497980396,1.04138900040562,"depleted"
"ENOG4105NJS","ENOG4105NJS",0.00523223613177066,0.999996497980396,1.04818008225087,"depleted"
"ENOG4105D4J","ENOG4105D4J",0.00524064058998497,0.999996497980396,0.943382721914024,"enriched"
"COG4732","COG4732",0.0054275315318208,0.999996497980396,1.04799066477294,"depleted"
"ENOG4107H8F","ENOG4107H8F",0.00572124021124495,0.999996497980396,1.03715519421836,"depleted"
"ENOG410Z2UP","ENOG410Z2UP",0.00572124021124495,0.999996497980396,1.03715519421836,"depleted"
"ENOG41060M0","ENOG41060M0",0.00574274065068306,0.999996497980396,1.03495604833871,"depleted"
"ENOG410Y6PV","ENOG410Y6PV",0.00574274065068306,0.999996497980396,1.03495604833871,"depleted"
"COG1092","COG1092",0.00577218239472272,0.999996497980396,1.05283224442956,"depleted"
"ENOG4105CJ8","ENOG4105CJ8",0.00578889193216508,0.999996497980396,1.02934154060381,"depleted"
"COG0078","COG0078",0.0058300202159546,0.999996497980396,1.05841810619531,"depleted"
"ENOG4105WDG","ENOG4105WDG",0.00583696003376923,0.999996497980396,1.03981756927771,"depleted"
"ENOG411275W","ENOG411275W",0.00583696003376923,0.999996497980396,1.03981756927771,"depleted"
"COG0553","COG0553",0.00586725792520009,0.999996497980396,0.965753858838407,"enriched"
"ENOG4107VD4","ENOG4107VD4",0.00597510520326975,0.999996497980396,1.04854578734339,"depleted"
"ENOG410ZEYT","ENOG410ZEYT",0.00597510520326975,0.999996497980396,1.04854578734339,"depleted"
"COG5545","COG5545",0.00599942683044969,0.999996497980396,1.05295085233974,"depleted"
"COG1159","COG1159",0.00601568945917306,0.999996497980396,1.0451119362199,"depleted"
"ENOG4105CWT","ENOG4105CWT",0.00601568945917306,0.999996497980396,1.0451119362199,"depleted"
"ENOG4105TED","ENOG4105TED",0.006031114623472,0.999996497980396,0.948518408245581,"enriched"
"ENOG4111SJZ","ENOG4111SJZ",0.00603792341692809,0.999996497980396,0.948526893492901,"enriched"
"ENOG4108J4F","ENOG4108J4F",0.00607198890690787,0.999996497980396,1.05165130843066,"depleted"
"ENOG4108SHR","ENOG4108SHR",0.00632609973696644,0.999996497980396,1.05008144970887,"depleted"
"ENOG4111H9C","ENOG4111H9C",0.00632609973696644,0.999996497980396,1.05008144970887,"depleted"
"ENOG4105YQB","ENOG4105YQB",0.00642944304573795,0.999996497980396,1.03192152205636,"depleted"
"ENOG41127QW","ENOG41127QW",0.00642944304573795,0.999996497980396,1.03192152205636,"depleted"
"ENOG4105STG","ENOG4105STG",0.00650347496551363,0.999996497980396,1.0448992159248,"depleted"
"ENOG4112192","ENOG4112192",0.00650347496551363,0.999996497980396,1.0448992159248,"depleted"
"ENOG4106V62","ENOG4106V62",0.00652495935836225,0.999996497980396,1.10557161946395,"depleted"
"ENOG410YK82","ENOG410YK82",0.00652495935836225,0.999996497980396,1.10557161946395,"depleted"
"ENOG4105EAI","ENOG4105EAI",0.00660340338443202,0.999996497980396,1.03363692005914,"depleted"
"ENOG410ZQTG","ENOG410ZQTG",0.00660340338443202,0.999996497980396,1.03363692005914,"depleted"
"ENOG4108S3K","ENOG4108S3K",0.00662712286144683,0.999996497980396,1.05355286665081,"depleted"
"ENOG4111FJJ","ENOG4111FJJ",0.00662712286144683,0.999996497980396,1.05355286665081,"depleted"
"ENOG4105KG7","ENOG4105KG7",0.00678726307253766,0.999996497980396,1.04021138601451,"depleted"
"ENOG4108ZRZ","ENOG4108ZRZ",0.00694090638872237,0.999996497980396,1.02564819496576,"depleted"
"ENOG4105WDJ","ENOG4105WDJ",0.00698857442232023,0.999996497980396,1.13726326836927,"depleted"
