#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210344.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210344_profile.tsv --nproc 8 --verbose
#132898150 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 110113919
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	17.14413	-	22784231
k__Bacteria	2	82.85587045417864	41.563341435747894	110113919
k__Bacteria|p__Firmicutes	2|1239	60.271837558896124	30.234418262887687	78483743
k__Bacteria|p__Actinobacteria	2|201174	13.40411615535634	6.723963178388792	14877112
k__Bacteria|p__Bacteroidetes	2|976	6.116784922757465	3.068390358778275	11474675
k__Bacteria|p__Proteobacteria	2|1224	3.040056457247223	1.524994946710147	5219681
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.013638076276757803	0.0068425383158660135	25297
k__Bacteria|p__Synergistetes	2|508458	0.007026177814514348	0.003524755187720558	20362
k__Bacteria|p__Verrucomicrobia	2|74201	0.0021459670447632265	0.0010768316917564979	9677
k__Bacteria|p__Bacteria_unclassified	2|	0.0002568531984079538	0.000130563787653692	3372
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.07236711797456	23.613110558631277	63323908
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	12.219409777254311	6.1296745860032615	13518868
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	11.416942386318546	5.727128293168657	12876353
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	6.111349577655671	3.0656604077884007	11464566
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.560698032636045	0.782898132766882	1800798
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.1847063781020277	0.5942885923855304	1358244
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.0859670372817831	0.5447578214871757	2694922
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.6778770185338171	0.34004735999964425	726255
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.39247168716735337	0.19687843365796248	719882
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.38279412149830533	0.1920238311465572	551986
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.1934601719234617	0.09704665006996356	296082
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.17020252908697375	0.08537792344879598	252742
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.10146529895818716	0.05090010122854645	135226
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.0923925811434546	0.04634534031397708	73013
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.05323489676680978	0.026704897789521106	61347
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	0.04022652510550373	0.02017868547538498	52473
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.021592239840358952	0.010829903453176767	17960
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.012502950851535556	0.0062723034481891975	12751
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.007904450041328642	0.003963351529480287	13664
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.007026177814514348	0.003524755187720558	20362
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.0061561911747454725	0.0030881705389095475	6243
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.00570048388724749	0.0028603310913607257	13508
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.005609342429747893	0.002815606049948682	13550
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.005476773037021208	0.0027470974992749486	9589
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	0.005443630688839537	0.0027299509898742152	10109
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00480564048634236	0.002411809903549936	15806
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.004349933198844379	0.002182579561195603	15548
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.003322520405212563	0.0016672144039729055	11172
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.0027756716602149846	0.0013904060928845168	10360
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.0021459670447632265	0.0010768316917564979	9677
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.001831114737037348	0.0009177785584501111	6319
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia	2|95818|2171981	0.0015079768422660512	0.000756987974678395	2740
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.000919700162041383	0.0004605587981267864	4079
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.0007125604859059363	0.0003565711152380105	7639
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.0002734243724987895	0.00013704871091734509	2806
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.0002568531984079538	0.000130563787653692	3372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	43.36224695077735	21.751986188067555	58459179
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	12.167981138463404	6.103874186545819	13293272
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	10.997476256557222	5.516709542372823	12483204
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.111349577655671	3.0656604077884007	11464566
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.3732447691046117	1.6921332606114636	4441472
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.560698032636045	0.782898132766882	1800798
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.0810619697508959	0.5422959290490874	2685177
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.0644825100730146	0.5339815601064156	1175712
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.6778770185338171	0.34004735999964425	726255
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.39247168716735337	0.19687843365796248	719882
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.38279412149830533	0.1920238311465572	551986
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.33688368367964494	0.16899110995225683	423257
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.33686711250555407	0.16898589739157638	295728
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.19112363637665386	0.09587525925866591	288520
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.17020252908697375	0.08537792344879598	252742
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.1202238680290132	0.0603070322791148	182532
k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035	2|1239||	0.10146529895818716	0.05090010122854645	135226
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	0.0923925811434546	0.04634534031397708	73013
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.08259901725577068	0.04143285340425753	97421
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.05323489676680978	0.026704897789521106	61347
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.04990409077455179	0.02503397856536254	193497
k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005	2|1239||	0.04022652510550373	0.02017868547538498	52473
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119	2|1239||	0.021592239840358952	0.010829903453176767	17960
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.012502950851535556	0.0062723034481891975	12751
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.007904450041328642	0.003963351529480287	13664
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.007026177814514348	0.003524755187720558	20362
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales	2|95818|2093818|2093825	0.0061561911747454725	0.0030881705389095475	6243
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.00570048388724749	0.0028603310913607257	13508
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.005609342429747893	0.002815606049948682	13550
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491	2|1239||	0.005476773037021208	0.0027470974992749486	9589
k__Bacteria|p__Bacteroidetes|c__CFGB10477|o__OFGB10477	2|976||	0.005443630688839537	0.0027299509898742152	10109
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.004905067530887376	0.0024618924380882183	9745
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.00480564048634236	0.002411809903549936	15806
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	2|1239||	0.004349933198844379	0.002182579561195603	15548
k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559	2|1239||	0.003322520405212563	0.0016672144039729055	11172
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.0027756716602149846	0.0013904060928845168	10360
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.0023365355468078376	0.0011713908112976435	7562
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.0021459670447632265	0.0010768316917564979	9677
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	2|1239||	0.001831114737037348	0.0009177785584501111	6319
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia|o__Candidatus_Nanoperiomorbales	2|95818|2171981|2171983	0.0015079768422660512	0.000756987974678395	2740
k__Bacteria|p__Proteobacteria|c__CFGB10055|o__OFGB10055	2|1224||	0.000919700162041383	0.0004605587981267864	4079
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.000787130769314697	0.00039430774081949705	22915
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.0007457028340876077	0.00037211315126017656	9184
k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930	2|1239||	0.0007125604859059363	0.0003565711152380105	7639
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	0.0002734243724987895	0.00013704871091734509	2806
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989|o__OFGB2989	2|||	0.0002568531984079538	0.000130563787653692	3372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	17.093091504413643	8.574479728023874	25144924
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	16.28498162869995	8.169104026566915	19730214
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	12.167981138463404	6.103874186545819	13293272
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	10.997476256557222	5.516709542372823	12483204
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	5.0829425135784065	2.549777309763245	6703609
