#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210375.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210375_profile.tsv --nproc 8 --verbose
#69780640 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 55829250
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	19.99321	-	13951390
k__Bacteria	2	80.00678984887499	18.167797280530944	55829250
k__Bacteria|p__Firmicutes	2|1239	53.677803415531876	12.189058562274166	33342525
k__Bacteria|p__Bacteroidetes	2|976	16.47869447937136	3.7419513737030674	17120398
k__Bacteria|p__Actinobacteria	2|201174	8.320002084532328	1.8892915550019664	4323384
k__Bacteria|p__Proteobacteria	2|1224	1.5156966309709972	0.3441809318399913	1023939
k__Bacteria|p__Bacteria_unclassified	2|	0.008736741451497148	0.001983262974754547	8218
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.005864497695922536	0.001331594736997188	10786
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	51.056244934590744	11.593759597476911	31650891
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	16.47869447937136	3.7419513737030674	17120398
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.840764547695465	1.5533886142053344	3499492
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.4792375368368649	0.3359029407966321	823892
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.4288892639849677	0.3244696272408755	765030
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.9282787792215721	0.2107923339125584	595217
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.7310460408861255	0.16600431836654406	540600
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.45513462541329514	0.10335083600597227	292130
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.40553841638597754	0.09208816720795032	277347
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.1322832263361299	0.03003776192146068	136592
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.026298231823325212	0.005971790358723366	66805
k__Bacteria|p__Firmicutes|c__CFGB15212	2|1239|	0.01861757999783321	0.004227649647537223	10726
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.008736741451497148	0.001983262974754547	8218
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.003928333381579763	0.0008912018160370421	4494
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00374431776492735	0.000850437268980304	7511
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.003240274988879437	0.0007352415196462465	7088
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.0029362491874537124	0.000667582426094359	6781
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.0019361643143427747	0.00044039292096014604	6292
k__Bacteria|p__Firmicutes|c__CFGB74494	2|1239|	0.0010800916629598125	0.0002456749104084981	4500
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.00016801425868263748	3.847585049497483e-05	5246
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	48.00637810487264	10.901201274550715	29729025
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	16.47869447937136	3.7419513737030674	17120398
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	6.832531849020015	1.5515195804011204	3411261
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.8902132805746694	0.6563042101078557	1752109
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.4182403602560827	0.32205173547330274	748360
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.3840934623485828	0.3142973500982429	708292
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.9282787792215721	0.2107923339125584	595217
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.7310460408861255	0.16600431836654406	540600
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.45513462541329514	0.10335083600597227	292130
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.40553841638597754	0.09208816720795032	277347
