#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210370.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210370_profile.tsv --nproc 8 --verbose
#71898224 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 58889742
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	18.09291	-	13008482
k__Bacteria	2	81.90708855339737	20.092278984432337	58889742
k__Bacteria|p__Firmicutes	2|1239	62.61593790327616	15.360049270864685	44384776
k__Bacteria|p__Actinobacteria	2|201174	13.234195167977166	3.2464232840447984	7294760
k__Bacteria|p__Bacteroidetes	2|976	3.863483650684056	0.9477343729513982	4752745
k__Bacteria|p__Proteobacteria	2|1224	1.95608051670567	0.47983691095382697	2315140
k__Bacteria|p__Fusobacteria	2|32066	0.2005003620698614	0.04918470162633872	118092
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.036890952684450175	0.009050443991289903	24229
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	55.03347927824281	13.500027764451099	39559958
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	7.361383202318877	1.8057892169925494	4006123
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.872811965658289	1.4406340670522493	3288637
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.344900754365504	1.0658293028402155	2977590
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.863483650684056	0.9477343729513982	4752745
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.7861970243370682	0.4381639105370161	2168801
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.6476348026312861	0.40417473003571197	945208
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.4611896969571876	0.35843761032574845	836548
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.2005003620698614	0.04918470162633872	118092
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.12873337107937466	0.03157986321190994	65472
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.10182689248958361	0.024978508302397465	67879
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.06805659987901787	0.016694492114413415	78460
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.029633984638619163	0.00726844251242214	14054
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.004693276174109669	0.0011513216476873554	6330
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.002571882580576677	0.0006306798311804061	3845
