#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210342.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210342_profile.tsv --nproc 8 --verbose
#124316212 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 104810354
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	15.69052	-	19505858
k__Bacteria	2	84.30948169495383	40.04856885865132	104810354
k__Bacteria|p__Firmicutes	2|1239	66.69191104058302	31.679896314530847	80296458
k__Bacteria|p__Bacteroidetes	2|976	8.791236308570598	4.176001176383302	13583047
k__Bacteria|p__Actinobacteria	2|201174	5.401404978061591	2.5657687447999926	6125815
k__Bacteria|p__Verrucomicrobia	2|74201	2.5986121376463758	1.2343906944896696	3405708
k__Bacteria|p__Proteobacteria	2|1224	0.8093288695307094	0.3844451473173911	1367292
k__Bacteria|p__Bacteria_unclassified	2|	0.007149444047732085	0.0033958820923462715	8489
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.005792061392443329	0.002752098249964766	9219
k__Bacteria|p__Synergistetes	2|508458	0.004038424173188289	0.0019188007878054168	14326
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	44.797488998790605	21.279639532405053	56991915
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	8.740245934041493	4.151780223188351	13530150
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	5.319236957201688	2.526736308957737	4834503
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	4.717612926774667	2.2409538588026625	4672011
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.705759013648357	2.235321809517524	5462693
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.2082624307307563	1.5239841964405552	3567111
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.5986121376463758	1.2343906944896696	3405708
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.1695358924562473	1.030571261069997	2531719
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.8143990627125932	0.8618721649156855	2040114
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	1.0389541738750856	0.4935219874310768	1242823
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.8364259369474676	0.39731953589521507	927986
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.6995242005712015	0.332286178913615	472380
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.46070073177390575	0.21884051690599002	664876
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.4243802070597196	0.20158938739330393	289201
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.4231324267306343	0.2009973345830674	616569
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.32429642133963993	0.15404794891129966	412611
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	0.273053118365447	0.1297047138732356	316385
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.2582315114834741	0.12266585446482445	404202
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.25800387588289775	0.12255657379022872	352405
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.2293302211584439	0.10893570136286845	567558
k__Bacteria|p__Firmicutes|c__CFGB74461	2|1239|	0.1967193136388358	0.09344664694973508	280369
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.15685779069346162	0.07451211137145522	183165
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.11257001995910236	0.05347289742944701	182125
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.07263261848020273	0.034503805529806836	79942
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.0714269928919649	0.03392964724759198	121414
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.06964806282820137	0.03308578071316591	109571
k__Bacteria|p__Bacteroidetes|c__CFGB667	2|976|	0.05099037452910808	0.02422095319495146	52897
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.0458390651975464	0.021772822955617974	52480
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.03497157300706685	0.01661236390839805	59509
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.0284881738647249	0.013531006510084376	47109
