#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210363.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210363_profile.tsv --nproc 8 --verbose
#72752358 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 56008808
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	23.01444	-	16743550
k__Bacteria	2	76.98555694923319	18.380189149744027	56008808
k__Bacteria|p__Firmicutes	2|1239	68.16495985744187	16.274283866158363	47479612
k__Bacteria|p__Proteobacteria	2|1224	4.24218903446346	1.012816754339549	5226721
k__Bacteria|p__Actinobacteria	2|201174	3.708024747571206	0.8852845855979347	2200686
k__Bacteria|p__Bacteroidetes	2|976	0.8627617396186663	0.20598365702118918	1084419
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0076215701379740855	0.0018202866269912354	17370
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	64.14856176295483	15.315375189554826	45224474
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.232573538400501	1.0105211078426966	5199409
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.5583609328698325	0.6108044505116355	1238756
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.1275343590705336	0.50794557052769	1255247
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.5804903885006725	0.3773390150702447	945439
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.3494567320960236	0.3221805427957201	927971
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.8627617396186663	0.20598365702118918	1084419
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.06275092746931997	0.0149819711156223	59353
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04582950205187851	0.010941712180557691	29058
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00675163334444775	0.0016110512659470381	18116
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.005358194763666629	0.0012790271406890863	4929
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0028638627185114743	0.0006845952309054281	9196
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.001285658801052194	0.00030692298449592955	9118
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.0009777165732552614	0.0002343365018062194	3323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	63.96820000013416	15.272314340976699	45108667
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.232573538400501	1.0105211078426966	5199409
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.557737349858544	0.6106554919754955	1232884
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.0572619426872736	0.49116797955202796	1122027
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.5526524111078297	0.3706928837515516	917989
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.3494567320960236	0.3221805427957201	927971
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.8627617396186663	0.20598365702118918	1084419
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.15270855076449893	0.036458764898765976	93970
