#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210374.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210374_profile.tsv --nproc 8 --verbose
#74647086 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 58183654
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	22.05502	-	16463432
k__Bacteria	2	77.94497698141895	19.535015881763844	58183654
k__Bacteria|p__Firmicutes	2|1239	53.816563741981845	13.487814639487517	35532036
k__Bacteria|p__Bacteroidetes	2|976	15.919583427155082	3.9898572969606083	17564176
k__Bacteria|p__Actinobacteria	2|201174	6.820489471284385	1.7093891821997926	3783291
k__Bacteria|p__Proteobacteria	2|1224	1.3701245998770804	0.3433886219731996	1265761
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00917412379071301	0.0022997293819797702	8069
k__Bacteria|p__Synergistetes	2|508458	0.007396978315536658	0.0018540961836724626	26307
k__Bacteria|p__Bacteria_unclassified	2|	0.0016446390143079396	0.00041231557707375094	4014
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	43.27532402750323	10.845909496986629	29613443
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	15.919583427155082	3.9898572969606083	17564176
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	7.515088339156602	1.8834741237711705	3951171
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.68925351354077	1.676498689219683	3639171
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.172825356324827	0.5445657751144379	1262292
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.5629342127552038	0.1410849500586969	432027
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.49622110695680743	0.12436615926539762	634574
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.31096928016506903	0.07793751264910508	199160
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.3093090521553648	0.07752130126794286	256550
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.135406014012121	0.033936607730513706	76449
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.12006644254217776	0.030091472625463432	129307
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.11238106781180984	0.028165740530157336	83216
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.062324803594342594	0.015620810800264404	40646
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.04750746347017484	0.011907490083277317	26261
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.03760845139353464	0.00942644899553167	23951
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.036205441807869096	0.009074269442763976	27114
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.03152094869128582	0.007900790073307318	29747
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.017295990392176865	0.004335571977216242	16621
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.017280401396780578	0.004330118510157509	14710
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.012829743211141557	0.0032150485372601976	10150
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.011263049173815038	0.002823415110681242	16578
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.011037008740568923	0.0027671150560468366	10646
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.007396978315536658	0.0018540961836724626	26307
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.0068279799835723	0.00171132694329845	3818
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.006149858683833954	0.0015417727647782688	24863
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.005970585236776692	0.0014957169777935653	15214
