#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210360.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210360_profile.tsv --nproc 8 --verbose
#68284242 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 54129096
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	20.72974	-	14155146
k__Bacteria	2	79.27025974748318	19.80825419845746	54129096
k__Bacteria|p__Firmicutes	2|1239	60.241505238333616	15.053301325060861	40120066
k__Bacteria|p__Actinobacteria	2|201174	11.856476531508982	2.9627266038631452	6655399
k__Bacteria|p__Bacteroidetes	2|976	6.643505709994994	1.6600956937389977	6964225
k__Bacteria|p__Proteobacteria	2|1224	0.4701598375882975	0.11748416775006691	356001
k__Bacteria|p__Bacteria_unclassified	2|	0.056963608654541406	0.014234917186750008	25565
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0016488214027476499	0.0004114908576386328	7840
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	54.995256761777625	13.74235371720388	37155768
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.958580045608766	2.488476054689369	5439185
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	6.643505709994994	1.6600956937389977	6964225
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.3039425374047497	0.5757150301950524	1312045
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.897896485900217	0.47425054917377607	1216214
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.1190582568552199	0.27963277535967035	518341
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.9843860125702208	0.24598156429000834	514223
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.4160261772067412	0.10395764578069946	273006
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.3041203515212192	0.07599404970801756	248151
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.30304227598865346	0.07572540608926458	161183
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.1215213081928917	0.030365444664797632	73557
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.056963608654541406	0.014234917186750008	25565
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.042377880861004504	0.010588941506500787	40743
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03675761944490795	0.009185873701032965	29661
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02903669614550309	0.007255976875540228	51075
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.025096964236053173	0.006270545093827216	31920
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.009219131208632292	0.0023034660563825385	13307
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.007816047611101842	0.0019540767584322522	12543
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.00438364536403582	0.001096248985960651	9989
k__Bacteria|p__Firmicutes|c__CFGB15212	2|1239|	0.003923877857500417	0.000979722563178348	7458
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.0032976428054952997	0.0008234105024642708	6470
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.002243348350853774	0.0005612330163669732	10895
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.001022586350742533	0.0002560119717503115	4787
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia	2|95818|2171981	0.0006183080260303688	0.00015547888588832124	3053
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.00015854051949496634	4.036445985213999e-05	5732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	43.58576937093275	10.891323378744534	29574987
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	11.193475933032982	2.7970537967147933	7386236
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	9.93626546748985	2.482900280304304	5338415
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.643505709994994	1.6600956937389977	6964225
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.7241122954558097	0.4308250852002367	975901
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.717572499026642	0.42919122693802964	1063377
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.1190582568552199	0.27963277535967035	518341
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.9843860125702208	0.24598156429000834	514223
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.5798302419489404	0.1448899449948157	336144
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.4160261772067412	0.10395764578069946	273006
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.3041203515212192	0.07599404970801756	248151
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.30304227598865346	0.07572540608926458	161183
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.21601145781189166	0.0539765417445516	194545
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.1803239868735747	0.04505932223574646	152837
