#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210346.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210346_profile.tsv --nproc 8 --verbose
#66459836 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 53893940
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	18.9075	-	12565896
k__Bacteria	2	81.09249622584083	17.28234613590914	53893940
k__Bacteria|p__Firmicutes	2|1239	48.819750586609935	10.40441310896636	28694240
k__Bacteria|p__Bacteroidetes	2|976	19.15338265007455	4.081948681049053	16801096
k__Bacteria|p__Actinobacteria	2|201174	8.982745554930348	1.9143923583160118	4370829
k__Bacteria|p__Proteobacteria	2|1224	4.091481350826686	0.871972858438533	4005685
k__Bacteria|p__Bacteria_unclassified	2|	0.035332000605598844	0.007530435445044239	14346
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.009804082793704157	0.0020886936941390748	7744
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	44.09443406678284	9.397359492596738	26052007
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	19.12215392977798	4.075292347541014	16783840
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	7.3532404987698134	1.567114134057948	3569848
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.7166393962723596	0.7920854316109303	3792504
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.629505056160536	0.3472782242580639	800981
k__Bacteria|p__Firmicutes|c__CFGB3005	2|1239|	1.1868941025102742	0.2529492746634367	618810
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.9221838670802619	0.19653452751337705	473559
k__Bacteria|p__Firmicutes|c__CFGB10318	2|1239|	0.6576277073930787	0.14015358083876922	207539
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.5878313958914976	0.12527726942319184	407928
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.5159834442354027	0.10996526041451213	370397
