#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210353.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210353_profile.tsv --nproc 8 --verbose
#69972938 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 59263231
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	15.3055	-	10709707
k__Bacteria	2	84.69450146569521	21.741933967834047	59263231
k__Bacteria|p__Firmicutes	2|1239	45.806953362120076	11.759107441550887	29666281
k__Bacteria|p__Actinobacteria	2|201174	19.615085619902224	5.035390406270295	11151789
k__Bacteria|p__Bacteroidetes	2|976	18.113087922559146	4.649813221874386	17397176
k__Bacteria|p__Proteobacteria	2|1224	0.6077084563668028	0.15600577219888523	632196
k__Bacteria|p__Verrucomicrobia	2|74201	0.5009595067194406	0.12860142710525507	361899
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.029177255754931998	0.0074891453531731635	17152
k__Bacteria|p__Lentisphaerae	2|256845	0.021529342272579723	0.005526553481163791	36738
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	15.765364811380222	4.047127692545946	8899579
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	15.5598874813743	3.994379396394356	16081954
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	14.865900736364392	3.8162274438510204	12172149
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	8.520232969648351	2.187230454086385	4863326
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	6.88158916364052	1.7665729056350303	3219558
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.849720808522003	0.9882627137243499	2252210
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	3.189213799941486	0.818704227332345	1914097
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.578515627672944	0.6619305719600069	1653835
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	2.3239917118682367	0.5965925778036663	838725
k__Bacteria|p__Bacteroidetes|c__CFGB10477	2|976|	2.2081126949628724	0.5668442404059006	1123378
