#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210365.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210365_profile.tsv --nproc 8 --verbose
#75397390 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 62468224
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	17.14803	-	12929166
k__Bacteria	2	82.85197140113205	22.18848928326443	62468224
k__Bacteria|p__Firmicutes	2|1239	64.76699337251011	17.345171513406637	45747331
k__Bacteria|p__Bacteroidetes	2|976	11.013065157706917	2.949395155884412	11796462
k__Bacteria|p__Actinobacteria	2|201174	5.9261198176202114	1.5870676378022521	3620543
k__Bacteria|p__Proteobacteria	2|1224	1.119106433306511	0.2997075512946769	1286398
k__Bacteria|p__Bacteria_unclassified	2|	0.02595752263997467	0.006951694326652031	14587
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.000729097348329962	0.00019573054980034273	2903
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	59.607436564687454	15.96339748038847	42418600
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	11.013065157706917	2.949395155884412	11796462
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.358701367062175	1.1672991158985053	2665834
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	2.884980210961679	0.7726228228417842	1613374
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.5674184505580364	0.4197685219037469	954709
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.9177512872103396	0.24578079185012103	571146
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.49664785736694594	0.1330057524870716	386769
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.4875672813013819	0.1305744991382186	793986
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.37686876231232935	0.10092854433190294	325775
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.3306539326647779	0.08855281904357416	225582
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.3289471820539146	0.08809462140884633	268455
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.26644365482890053	0.07135643715374125	206031
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.1348995798353232	0.0361272996693867	105643
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.02595752263997467	0.006951694326652031	14587
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.017117217291473884	0.0045842830610172206	21779
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.008227200760132412	0.0022025288098540753	9012
