#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210361.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210361_profile.tsv --nproc 8 --verbose
#73647486 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 60154518
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	18.32102	-	13492968
k__Bacteria	2	81.6789835840425	19.48485100063514	60154518
k__Bacteria|p__Firmicutes	2|1239	37.979641036098094	9.060196841936493	24840071
k__Bacteria|p__Bacteroidetes	2|976	31.67968385697239	7.557315695974776	27038702
k__Bacteria|p__Verrucomicrobia	2|74201	7.597664702410615	1.8124526743071583	5515916
k__Bacteria|p__Actinobacteria	2|201174	3.524758521789053	0.8408451861209096	2096850
k__Bacteria|p__Proteobacteria	2|1224	0.6081980475634972	0.1450882157374086	492937
k__Bacteria|p__Synergistetes	2|508458	0.28904558710720957	0.06895238655839528	170042
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	31.67968385697239	7.557315695974776	27038702
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	30.047460056419034	7.16794242529521	19978753
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	7.597664702410615	1.8124526743071583	5515916
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.7492940476615857	0.8944083631878269	2157833
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.616275858977182	0.6241235935256172	1447556
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.291687782194765	0.3081380578475143	822445
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.1312702584357053	0.2698689678054698	830531
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.9084826628118711	0.21672159259529242	649294
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.7895825664085805	0.18835714041697765	421223
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.4063366075338946	0.0969336193110867	310572
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.3713044914746988	0.08857570925152862	198106
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.28904558710720957	0.06895238655839528	170042
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.26838897215880525	0.0640245781474966	177819
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.12273900863174066	0.02928035324968218	81035
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.12188137930410821	0.02907590643720546	98097
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.11194921490028864	0.026706838707324727	61425
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.07912243139786196	0.018874243176639712	101330
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.022935458590399135	0.005471168847588467	12983
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.017536477775493924	0.004183937605957949	13951
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.016131599257848392	0.0038485893523962683	14318
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.014236646838698607	0.0033967450725429305	13240
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.011304371328031481	0.0026968759075075162	12147
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.01062643576428393	0.002535824918298564	10808
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.0036592184645651035	0.0008719686507566297	7604
k__Bacteria|p__Firmicutes|c__CFGB2983	2|1239|	0.00039205912120340397	9.374448489181816e-05	8788
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	31.67968385697239	7.557315695974776	27038702
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	29.824843986660724	7.114837584582685	19778058
