#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210349.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210349_profile.tsv --nproc 8 --verbose
#67843970 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 50901481
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	24.97273	-	16942489
k__Bacteria	2	75.02727361031496	18.34935617947769	50901481
k__Bacteria|p__Firmicutes	2|1239	35.15583720740708	8.598032246339438	24819657
k__Bacteria|p__Actinobacteria	2|201174	30.508887967259728	7.461533432240008	16939486
k__Bacteria|p__Verrucomicrobia	2|74201	4.82642198135059	1.1803935298456838	3621489
k__Bacteria|p__Bacteroidetes	2|976	3.6579022057793784	0.8946104640580624	4502340
k__Bacteria|p__Proteobacteria	2|1224	0.8644342356286049	0.21141444935384285	1006473
k__Bacteria|p__Bacteria_unclassified	2|	0.011914331049318013	0.0029134838336769657	8463
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.001875681840257874	0.00045857380697972094	3573
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	34.12046083158474	8.344811745529038	23950850
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	24.97939290763424	6.109188427441277	13714429
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.529502562352851	1.3523450047987322	3225057
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	4.82642198135059	1.1803935298456838	3621489
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.6579022057793784	0.8946104640580624	4502340
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.6245495337143449	0.1527454365971689	795394
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.31819817010870677	0.07782100931345355	248508
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.27026324499907656	0.06609869886604153	262158
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.22505931264886178	0.055041690213000094	178584
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.15364085089920296	0.03757565660026099	106467
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.082897634612037	0.02027332843474829	73140
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.07165104629785078	0.017524121972551543	47285
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.05029828422835515	0.012301993321820836	42876
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03383730039825205	0.008275318046260308	27216
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02616951303527786	0.00639938152289265	17232
k__Bacteria|p__Bacteria_unclassified|c__CFGB2989	2||	0.011914331049318013	0.0029134838336769657	8463
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.011126544676409708	0.0027215520430007465	9747
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.010406282849750686	0.0025456652049022184	14068
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.0066699246239570005	0.0016318900447424769	8653
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.005124362787584512	0.0012532246857079768	6304
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.0037588664078767793	0.0009201595705341703	8491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0035712982238509925	0.000874229356469252	10511
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.001875681840257874	0.00045857380697972094	3573
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.0017331300203982756	0.00042416638838443504	10730
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.000847808191796559	0.00020742798230238553	7916
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	33.304486711981035	8.145249917808668	23408412
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	24.795823677291878	6.064293825964899	13413392
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.174638563630784	1.26555718354305	2934627
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	4.82642198135059	1.1803935298456838	3621489
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.6579022057793784	0.8946104640580624	4502340
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.7735311909223471	0.18918115169974933	495603
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.6245495337143449	0.1527454365971689	795394
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.35485649599470664	0.08678782125568235	290430
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.3140566646054174	0.07680897639647342	234979
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.27026324499907656	0.06609869886604153	262158
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.22505931264886178	0.055041690213000094	178584
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.18026052757614272	0.0440862833583215	286997
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.15184769905991644	0.03713734635997661	92912
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.082897634612037	0.02027332843474829	73140
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.07165104629785078	0.017524121972551543	47285
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.05029828422835515	0.012301993321820836	42876
