#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210381.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210381_profile.tsv --nproc 8 --verbose
#137094256 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 117762111
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	14.10135	-	19332145
k__Bacteria	2	85.89793402757786	44.29018986118342	117755464
k__Archaea	2157	0.0007129587699866871	0.00036571880495791706	6647
k__Bacteria|p__Firmicutes	2|1239	61.88487277403264	31.908712950757426	85702156
k__Bacteria|p__Actinobacteria	2|201174	20.67981579642819	10.662805757216807	24924726
k__Bacteria|p__Bacteroidetes	2|976	2.0677006910671736	1.0661365629780892	5486289
k__Bacteria|p__Proteobacteria	2|1224	1.1784435380057061	0.6076232554297645	1570126
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.08710122804415672	0.04491133480133349	72167
k__Archaea|p__Euryarchaeota	2157|28890	0.0007129587699866871	0.00036571880495791706	6647
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	44.642308516492555	23.01820573971929	66016674
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	20.462191574288276	10.550595588168736	24567169
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	11.184708206527779	5.7669929338356996	12405031
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.759890824346062	2.969881912139672	6708191
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.0677006910671736	1.0661365629780892	5486289
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.0670244029997142	0.5501739471212036	1263301
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.24952697963064188	0.12865809445682902	461123
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.21762422213991228	0.11221016904807	357557
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.11134182622370409	0.05740796956724249	295546
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.051436109815425096	0.026522051155676706	40118
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.03447971690032003	0.01777630650565332	23455
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.024944967084835415	0.01286064643128256	57750
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.014912005116829987	0.007689252190866696	18705
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.005282766789660393	0.0027222756985396702	12474
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.0029377337269330963	0.0015128373692433043	9496
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.0011854013284116002	0.0006129771400034628	8594
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.0007129587699866871	0.00036571880495791706	6647
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.00031782499384948705	0.00016451291822740222	7378
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	7.730878228771307e-05	4.1338741318433075e-05	11279
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	5.153918819180871e-05	2.4745997776854592e-05	5334
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	44.11701252057694	22.747356764386346	65347251
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	20.026951719873153	10.326180848698518	23724215
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	10.96566665671259	5.6540508248916215	12135462
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.75103467384177	2.9653139379384887	6688790
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.0677006910671736	1.0661365629780892	5486289
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.0670244029997142	0.5501739471212036	1263301
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.5212587595072546	0.2687702836651638	657970
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.3516776506268067	0.1813283748427122	634469
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.24952697963064188	0.12865809445682902	461123
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.21904154981518703	0.11294210894407782	269569
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.15593181387431726	0.08040256831488082	263000
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.08844124693714374	0.04560171268314697	262139
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.06169240826559502	0.03180760073318918	94557
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.06022354140212848	0.03105239587987682	95093
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.051436109815425096	0.026522051155676706	40118
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales	2|95818|2093818|2093825	0.03447971690032003	0.01777630650565332	23455
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.023561998868355215	0.012149755182986343	51752
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.022900579286560335	0.011806256884095518	33407
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.014912005116829987	0.007689252190866696	18705
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.014800336875747734	0.007630287500793575	72781
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.008856150504292462	0.0045679742011828905	19401
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.008538325510442975	0.004403681246834693	40611
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.005282766789660393	0.0027222756985396702	12474
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.004028646543659714	0.002078691667777754	11453
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.0029377337269330963	0.0015128373692433043	9496
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellia_unclassified	2|1239|1737404|	0.0013829682164802003	0.0007108912482962174	5998
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	0.001073733087329348	0.0005530029031871962	5617
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.0007129587699866871	0.00036571880495791706	6647
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.00031782499384948705	0.00016451291822740222	7378
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanosyncoccales	2|95818|2171982|2171993	0.00012025810578088698	5.9974236816266675e-05	2977
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	7.730878228771307e-05	4.1338741318433075e-05	11279
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	5.153918819180871e-05	2.4745997776854592e-05	5334
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	24.677427158931735	12.72402830525866	39379503
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	20.026951719873153	10.326180848698518	23724215
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	10.96566665671259	5.6540508248916215	12135462
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	9.944426232556602	5.127487781319208	11338772
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	5.923948650225288	3.054472790419389	9583335
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	3.122561845653621	1.6100388907126264	4054268
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	2.9170836921975787	1.5040886078365048	3987193
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.7039628704034835	0.878586556836048	4741870
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	1.654304862580676	0.8529823541519054	1746866
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	1.0670244029997142	0.5501739471212036	1263301
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.9504169897157472	0.49004893635446173	850335
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.5212587595072546	0.2687702836651638	657970
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.3516776506268067	0.1813283748427122	634469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.340381978548102	0.17550594325264043	545774
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.24656347630961287	0.12712943858648315	447460
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.21904154981518703	0.11294210894407782	269569
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.2166621572936652	0.1117153389283344	407367
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.20782318651876996	0.10715766314485384	346082
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.15593181387431726	0.08040256831488082	263000
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.11439981805641807	0.05898810555667272	294838
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.09708265082397033	0.05005799737161011	105307
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.08844124693714374	0.04560171268314697	262139
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	0.05963084073792267	0.03074635599168312	86193
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.05202881047963089	0.02682844898722203	77824
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified	2|95818|||	0.051436109815425096	0.026522051155676706	40118
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales|f__Candidatus_Sacchiramonaceae	2|95818|2093818|2093825|2171986	0.03447971690032003	0.01777630650565332	23455
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2|1239|1737404|1737405|1570339	0.023561998868355215	0.012149755182986343	51752
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.022900579286560335	0.011806256884095518	33407
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	0.02102798878225795	0.01084350757761393	33431
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0.019456043542407788	0.010033734538294663	45778
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0.018854753013503353	0.009722232730252215	28800
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936	2|1239|||	0.014912005116829987	0.007689252190866696	18705
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0.014800336875747734	0.007630287500793575	72781
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.009655007921265498	0.004979151745967149	16733
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0.008856150504292462	0.0045679742011828905	19401
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0.005952776236153906	0.0030698898208007296	33594
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292	2|1239|||	0.005282766789660393	0.0027222756985396702	12474
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	2|1239|91061|186826|186827	0.004887633013523193	0.0025215239892427983	8521
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.004028646543659714	0.002078691667777754	11453
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	0.002963503321029001	0.0015286558703458695	13663
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354	2|1239|||	0.0029377337269330963	0.0015128373692433043	9496
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Lawsonellaceae	2|201174|1760|85007|2805586	0.00258554927428907	0.0013337914260339637	7017
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellia_unclassified|f__Tissierellia_unclassified	2|1239|1737404||	0.0013829682164802003	0.0007108912482962174	5998
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae	2|95818|2171982|2171984|2171990	0.001073733087329348	0.0005530029031871962	5617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.0009706547109457306	0.0005011491087449788	11264
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.0007129587699866871	0.00036571880495791706	6647
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae	2|201174|1760|85006|85016	0.0005927006642058001	0.0003060398881936994	8900
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	2|1239|||	0.00031782499384948705	0.00016451291822740222	7378
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanosyncoccales|f__Candidatus_Nanosyncoccacae	2|95818|2171982|2171993|2171994	0.00012025810578088698	5.9974236816266675e-05	2977
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	7.730878228771307e-05	4.1338741318433075e-05	11279
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	5.153918819180871e-05	2.5846215861080146e-05	13026
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776	2|1239|||	5.153918819180871e-05	2.4745997776854592e-05	5334
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	20.026676844202793	10.326036729783766	23721654
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera	2|1239|909932|1843489|31977|906	10.722006554671117	5.5284177131530114	11844697
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus	2|1239|186801|186802|216572|1263	8.113058488942965	4.1832080687859925	8991158
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511	6.397722637678489	3.2987548235620574	11673472
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia	2|1239|186801|186802|186803|841	5.42850243413743	2.7990114090692315	8802947
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium	2|1239|186801|186802|31979|1485	5.3346753420342425	2.7506333079414444	8760879
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter	2|1239|186801|186802|186803|1407607	4.122980437780122	2.1258659072038633	6344641
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	3.122561845653621	1.6100388907126264	4054268
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter	2|1239|186801|186802|186803|2316020	3.0011355182737196	1.5474268566972778	4240686
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger	2|1239|186801|186802||204475	2.6084498535756304	1.3449552051442744	3423126
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes	2|1239|186801|186802|186803|207244	2.167583637782899	1.1176355075742255	3058769
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea	2|1239|186801|186802|186803|189330	1.937392443588884	0.9989447033225844	2655211
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	2|1239|91061|186826|1300|1301	1.654304862580676	0.8529823541519054	1746866
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium	2|1239|186801|186802|216572|216851	1.4528983049917863	0.7491353576288531	1843862
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	2|1224|28216|80840|995019|577310	1.0670244029997142	0.5501739471212036	1263301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	2|976|200643|171549|815|909656	0.9927993821388111	0.5119029088070378	2804572
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora	2|1239|186801|186802|186803|2719231	0.8857524882644245	0.4567056696749112	1335804
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	0.7111548983999738	0.36668364802901016	1937298
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified	2|1239|186801|186802|31979|	0.5549482088553003	0.28613751761164696	741957
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3363	2|1239|186801|||	0.497542143074324	0.25654103670239686	621205
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus	2|1239|91061|186826|33958|2767881	0.409178204919468	0.21097995399320432	275614
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium	2|1239|186801|186802|186806|1730	0.340381978548102	0.17550594325264043	545774
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0.33045209495648015	0.17038504142523922	582702
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira	2|1239|186801|186802|186803|28050	0.32967041726890445	0.16998311145947206	474441
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus	2|1239|91061|186826|33958|2742598	0.32358879306227095	0.16684688670696365	300783
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum	2|1239|186801|186802|216572|2048137	0.30697599473511133	0.1582815073797194	373080
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified	2|1239|186801|186802||	0.3035915880438492	0.15653525839209312	556287
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	2|1239|526524|526525|128827|1505663	0.23709744541171732	0.12225021685442737	424625
