#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210380.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210380_profile.tsv --nproc 8 --verbose
#141094840 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 118647576
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	15.90934	-	22447264
k__Bacteria	2	84.0906556185896	37.77688243025773	118647576
k__Bacteria|p__Firmicutes	2|1239	43.33775914082471	19.46905334966403	51705415
k__Bacteria|p__Bacteroidetes	2|976	32.10365118532811	14.422241324525341	57505012
k__Bacteria|p__Actinobacteria	2|201174	7.275119888973403	3.2682751614550964	7446868
k__Bacteria|p__Proteobacteria	2|1224	1.3199878393761246	0.5929909046844956	1931663
k__Bacteria|p__Bacteria_unclassified	2|	0.04928553325805536	0.022142678710175598	40926
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.003943851748511851	0.0017719921574315652	7337
k__Bacteria|p__Synergistetes	2|508458	0.0009081790806807676	0.000407019061156008	10355
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	39.124800476202246	17.57642455542794	47638965
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	32.049715438814346	14.398013439599417	57455099
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.116630486162074	2.2985934399794243	5256591
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.156218955109627	0.9686583930929515	2182969
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.1011479847450127	0.9439201437671689	1957292
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	1.1304559106773855	0.5078470616795615	791929
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.5211854744584564	0.23413618623293203	619905
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.4246746290050012	0.19078105289642547	441905
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.37412773591266696	0.16807366555513803	869853
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.36983070341055707	0.16614236391576884	516138
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.16591927260103914	0.07453931553933835	222205
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.13335096167995938	0.05990734271162833	136923
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.12854938524413792	0.057750838307195955	208151
