#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210378.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210378_profile.tsv --nproc 8 --verbose
#125404502 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 101028546
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	19.43786	-	24375956
k__Bacteria	2	80.56213643749408	35.62857412048601	101028546
k__Bacteria|p__Firmicutes	2|1239	54.775268040266845	24.224342359197585	68703497
k__Bacteria|p__Actinobacteria	2|201174	20.22141043814312	8.942912432818474	19907464
k__Bacteria|p__Bacteroidetes	2|976	3.631330243706402	1.6059549110436393	8418580
k__Bacteria|p__Proteobacteria	2|1224	1.9304299133152332	0.8537316642981057	3987901
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0036897458488372287	0.0016327531282002308	11104
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	50.064099032179556	22.140830133168894	63326858
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	19.89612469984945	8.799053220040735	19417962
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.6312255129290336	1.6059083889902435	8414498
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.421963676361316	1.0711114765904026	3079982
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.9248550134737585	0.8512675557687999	3960556
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.3827040601039984	0.6115007482692149	1305158
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.8386598965279571	0.37089542834981387	914282
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.32528573829366986	0.14385921277774022	489502
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.06196839534772045	0.02740398798500558	59227
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.005881035959937068	0.002600584834254192	17990
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.005019021100055881	0.002219482566548004	18295
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.002078503120087347	0.0009182621421137741	4250
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.0009425769963186808	0.0004173737856556632	3812
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.0006686657324312009	0.0002971172004307936	3042
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0005558787414187091	0.00024462596275780344	9050
k__Bacteria|p__Bacteroidetes|c__CFGB618	2|976|	0.00010473077736874229	4.6522053395764447e-05	4082
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	49.650460798854894	21.957896539523187	62860439
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	19.792336499477027	8.753151654022323	19250011
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.6312255129290336	1.6059083889902435	8414498
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.421963676361316	1.0711114765904026	3079982
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.9248550134737585	0.8512675557687999	3960556
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.3161436229793408	0.5820632744978397	1234539
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.8312884610439264	0.3676356331954646	880205
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.41307429836960713	0.18268048784881513	458962
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.32528573829366986	0.14385921277774022	489502
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.0665604371246576	0.029437473771375202	70619
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.06196839534772045	0.02740398798500558	59227
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.061815327288489215	0.027337940207480507	119488
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.03265183389811635	0.014440275171243255	36480
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.009321039185818066	0.004123350639687805	11983
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.007371435484030709	0.003259795154349243	34077
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.005019021100055881	0.002219482566548004	18295
