#mpa_vOct22_CHOCOPhlAnSGB_202403
#/data/gaoyunyun/miniconda3/envs/humann4/bin/metaphlan temp/concat/SRR28210347.fq --input_type fastq --db_dir /data/bjfu/db/metaphlan4/ -x mpa_vOct22_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats -o temp/metaphlan/SRR28210347_profile.tsv --nproc 8 --verbose
#142679028 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 116570389
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	18.29886	-	26108639
k__Bacteria	2	81.70113760517069	37.56621736257776	116570389
k__Bacteria|p__Firmicutes	2|1239	53.641625375027026	24.66444140859304	65035033
k__Bacteria|p__Bacteroidetes	2|976	22.35268776842249	10.277776962422125	41870721
k__Bacteria|p__Actinobacteria	2|201174	2.802855566910506	1.2887547485477808	2988406
k__Bacteria|p__Proteobacteria	2|1224	2.770706169262872	1.2739723274448813	6559940
k__Bacteria|p__Bacteria_unclassified	2|	0.12487201871574287	0.057414752776783616	97384
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.008390706832051028	0.003857162793151195	18905
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	50.4112604354837	23.179120082984078	61179165
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	22.35268776842249	10.277776962422125	41870721
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.669176165560926	1.2272866595889442	6427834
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.3711140753497424	1.090239149206068	2474971
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.0826953054299615	0.49782386977919585	1096600
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.0323674046651763	0.4746837753160955	1384521
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.7001624090487917	0.32193493878386	807784
