Biomarker_Names	Average_Abundance(log10)	Enriched_Groups	LDA	KW_Pvalue
Saxibacter	1.0703024684781375	HC	0.6188787987619738	0.008693986098127384
Scandinavium	0.6877906816571295	ID	0.2366468175695556	0.05829058013948914
Scappvirus	0.0			-
Scapunavirus	0.0	HC	0.003197605670225042	0.3173105078628991
Scarabeuvirus	0.0			-
Scardovia	0.5145535120026887	HC	0.1393980477662268	0.8076561934993567
Schaalia	3.119039119697984	ID	2.5768655491545225	0.005333667447715412
Scheffersomyces	0.0059487289421063985	ID	0.044292685979974246	0.9353224500924857
Schiekvirus	0.0	HC	0.0023193244091862806	0.3381522406616678
Schizosaccharomyces	0.5083882110774138	ID	0.12318202035985681	0.6849253186565257
Schizotequatrovirus	0.0	HC	0.03358497814517019	0.2565994921734232
Schleiferilactobacillus	0.9041805315366587	HC	0.26408068180336736	0.1762139955513056
Schmidtvirus	0.0			-
Schmidvirus	0.0			-
Schmittlotzvirus	0.0			-
Schnabeltiervirus	0.0	ID	0.0017391509153515889	0.3173105078628991
Schnuerera	0.802863608913842	HC	0.3453944407847573	0.0699312121612827
Schubertvirus	0.0	ID	0.0017749357407972636	0.3173105078628991
Scindoambidensovirus	0.0			-
Sciuripoxvirus	0.0	HC	0.0030733893980370115	0.15207808079297255
Sciuriunavirus	0.0	HC	0.027457436111569523	0.0056154541070813895
Sclerodarnavirus	0.0			-
Sclerotimonavirus	0.0	HC	0.0027140330239626897	0.07562632558501513
Scleroulivirus	0.0			-
Scloravirus	0.0			-
Scoliodonvirus	0.0			-
Scophrhavirus	0.0	HC	0.0024074817162426706	0.3173105078628991
Scottvirus	0.0			-
Scrofimicrobium	0.3800215017449298	HC	0.2118519256139865	0.09893159920140912
Scuadavirus	0.0			-
Sculuvirus	0.0			-
Scutavirus	0.0	HC	0.002172907235870634	0.5940376494237177
Scuticavirus	0.0			-
Scyllavirus	0.0	HC	0.0069961928880422275	0.01726715670710463
Sdenfavirus	0.0			-
Sdonativirus	0.0			-
Sdribtuvirus	0.0			-
Seadornavirus	0.0			-
Seahorsevirus	0.0			-
Seamegvirus	0.0			-
Seawadnavirus	0.0			-
Sebaldella	0.7646922645446689	HC	0.17534127572250816	0.1850204964626589
Secretariatvirus	0.0	HC	0.00445076653684841	0.9714372531924288
Sectovirus	0.0			-
Secundilactobacillus	0.6257730126080622	ID	0.1704891905340584	0.1850204964626589
Sedimentibacter	1.4506146685185382	HC	0.7850740305316442	0.0742117161767884
Sedimenticola	0.7206012771434698	HC	0.2790545236796733	0.03260148641743053
Sedimentisphaera	0.7031953919944235	HC	0.17348769794916258	0.16772384227816634
Sediminibacillus	0.6065419640032749	ID	0.11930443877480044	0.8076561934993567
Sediminibacterium	0.37932001456001546	ID	0.11675721118714626	0.4651748036184629
Sediminicoccus	0.8003477470510844	HC	0.29447121863293574	0.04531629734465174
Sediminicola	0.0	HC	0.042389539659051796	0.15165162048051084
Sediminispirochaeta	0.5945952075890132	HC	0.1580237054016154	0.08341508335601197
Sednavirus	0.0			-
Sedonavirus	0.0			-
Seejivirus	0.0	HC	0.003542784086161537	0.07562632558501513
Segatella	4.070515284669514	HC	3.698754266057243	0.8498180212406067
Segniliparus	0.28056235701938703	ID	0.12890886050876074	0.05146207608338047
Segzyvirus	0.19549393076625832	HC	0.21839306179586537	0.15207808079297255
Sehcovirus	0.0			-
Sehpovirus	0.0			-
Selenobaculum	0.8983507529280746	HC	0.2750597974667996	0.3867079925517324
Selenomonas	2.2317703046670494	HC	1.407144749128506	0.048307142590648625
Sellimonas	2.7708772898381566	HC	1.9876629306164988	0.15954465937786846
Semodevirus	0.0			-
Sendosyvirus	0.0			-
Senecavirus	0.0			-
Senquatrovirus	0.0	HC	0.002705684470437795	0.15207808079297255
Sentinelvirus	0.0	HC	0.0016466909644367745	0.3173105078628991
Seodaemunguvirus	0.0	ID	0.004306959812957617	0.9714372531924288
Seonamhaeicola	0.7370031281006625	ID	0.27615910927414133	0.9568553503695676
Seongbukvirus	0.0			-
Seongnamvirus	0.0			-
Seoulvirus	0.0	ID	0.002155578012981284	0.3173105078628991
Septimatrevirus	0.0	ID	0.0023488505214460833	0.9714372531924288
Sepunavirus	0.0	ID	0.006411595731323629	0.36292734576829366
Sequivirus	0.0			-
Serangoonvirus	0.0	ID	0.0018587122494946662	0.7417671343905738
Serinicoccus	0.9677708067199702	HC	0.5046074086017224	0.01606401314826925
Serkorvirus	0.0	ID	0.011548621906749188	0.5755108721886576
Serpentinicella	0.9131826766736976	HC	0.3668983009601471	0.0658554842382962
Serpentinimonas	0.6267278717814239	HC	0.19009481300276607	0.06197757443380569
Serratia	1.938692244024793	HC	1.2194591776480836	0.0031936177003100766
Sertoctavirus	0.0	ID	0.0016170196795732036	0.3173105078628991
Serwervirus	0.0	ID	0.0818027636519944	0.9826324663821435
Sesamum	1.9228569776141196	ID	1.5535712789486487	0.498880519074121
Sessunavirus	0.0			-
Setaria	1.4865854555390183	HC	0.567356824796365	0.1298217973765276
Setohruvirus	0.0			-
Seunavirus	0.0	ID	0.007703084465706968	0.6045347000398468
Seuratvirus	0.0	ID	0.0020704041073016624	0.15207808079297255
Seussvirus	0.0			-
Sexopuavirus	0.0			-
Sextaecvirus	0.0	HC	0.006358326163167024	0.14124570333999684
Seybrovirus	0.0			-
Sfunavirus	0.0			-
Shalavirus	0.0	ID	0.017527950726859667	0.01395579989730571
Shamshuipovirus	0.0	HC	0.032299554152644815	0.3166528191492499
Shanbavirus	0.0	HC	0.003779981347136735	0.07562632558501513
Shandongvirus	0.0	ID	0.00158732676029586	0.3173105078628991
Shandvirus	0.0	ID	0.0013915020882450842	0.3173105078628991
Shangavirus	0.0			-
