Taxonomy	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
Deinococcota	11318	9083	6351	6403	1909	7376	1745	1413	1858	2571	2187	4741	536	1334	2695	2041	4078	2529	4000	3064	812	763	1721	4866	1696	1676	2145	6687	1360	4961	5542	4475	3283	2591	1437	3619	4315	2985	7650	3244
Dictyoglomota	380	356	281	195	30	134	214	32	123	155	47	376	17	74	51	26	56	59	81	154	36	53	251	275	208	63	60	117	141	91	109	248	178	33	52	34	80	145	133	81
Dividoviricota	1	2	0	0	0	143	36	0	0	68	106	1	0	0	84	0	0	1	0	93	18	0	116	0	1	0	1	0	55	131	0	0	0	25	230	0	0	0	0	33
Duplornaviricota	186	41	6	3	5	13	25	3	29	4	1	8	0	9	15	11	3	23	1	7	0	0	2	3	3	19	2	9	10	1	9	4	2	5	1	2	8	0	1	0
Elusimicrobiota	366	297	342	316	58	89	339	40	72	220	122	845	56	26	52	42	65	74	102	56	25	74	186	62	125	212	66	56	124	135	177	91	115	40	129	31	73	120	548	169
Euglenozoa	1816	1390	907	995	457	1356	771	237	412	623	320	932	83	272	406	282	1006	545	514	955	246	190	368	633	387	416	528	1090	273	726	1021	722	404	502	592	440	931	866	1492	1094
Euryarchaeota	20564	519502	13951	13438	4424	16054	6146	3181	4405	6914	5652	9841	2721	3019	5599	5471	9709	5619	6954	6705	3166	2690	4791	9862	4900	6295	5248	12134	6045	7346	11136	10510	7851	5228	4290	7856	11158	9251	16120	16463
Evosea	296	415	120	198	63	361	97	27	74	42	78	166	115	56	64	87	250	132	148	30	168	89	163	208	85	163	136	66	129	52	209	105	142	52	273	112	94	195	216	301
Fibrobacterota	498	628	234	647	157	590	199	77	141	346	334	483	26	77	269	206	417	321	602	201	113	106	445	887	33	121	352	525	281	266	267	326	504	256	214	182	282	380	611	375
Fornicata	105	214	50	51	36	98	47	36	45	34	49	65	19	31	19	36	103	26	58	41	11	33	19	50	26	24	20	58	76	21	121	81	27	25	79	20	180	48	87	37
Fusobacteriota	19231	10839	5638	10186	2957	9064	6558	3542	3569	6705	4004	10566	2380	2636	3496	5386	8439	3504	2592	3935	4383	2447	8132	3910	18289	3580	6752	4520	66633	4140	6472	7493	3435	2222	7217	3709	6985	8790	10694	10016
Gemmatimonadota	1121	950	519	421	302	531	149	78	240	111	215	550	150	115	214	79	247	163	273	278	43	69	103	432	180	266	231	427	273	160	283	401	275	183	74	296	531	217	998	172
Heterolobosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hofneiviricota	0	0	39	1	0	0	0	7	3	0	22	0	0	0	0	0	1	0	0	1	0	0	0	8	0	3	0	36	0	0	29	14	0	0	0	34	0	3	0	0
Ignavibacteriota	715	651	251	407	87	257	724	11	339	62	288	380	54	91	123	34	270	140	369	90	20	89	1022	587	95	719	109	121	362	194	306	332	378	23	86	101	46	542	840	861
